Time [s],Server,Client1,Client2
0.000000000,1,1,1
0.071594036,0,1,1
0.071594268,0,1,0
0.071594352,0,0,0
0.071607650,0,1,0
0.071607678,1,1,0
0.071607694,1,1,1
0.171597262,1,1,0
0.171597296,0,1,0
0.171597714,0,0,0
0.171611120,1,0,0
0.171611146,1,1,0
0.171611150,1,1,1
0.271600552,1,1,0
0.271601034,1,0,0
0.271601138,0,0,0
0.271614594,0,1,0
0.271614596,1,1,0
0.271614600,1,1,1
0.371604250,1,0,1
0.371604610,1,0,0
0.371604806,0,0,0
0.371618034,0,0,1
0.371618052,0,1,1
0.371618262,1,1,1
0.471608340,1,0,1
0.471608376,0,0,1
0.471608980,0,0,0
0.471621496,1,0,0
0.471621500,1,0,1
0.471621724,1,1,1
0.571611324,1,0,1
0.571611658,0,0,1
0.571611788,0,0,0
0.571624932,1,0,0
0.571624998,1,0,1
0.571625100,1,1,1
0.671614902,1,1,0
0.671615116,1,0,0
0.671615596,0,0,0
0.671628414,1,0,0
0.671628416,1,0,1
0.671628574,1,1,1
0.771618172,1,0,1
0.771618504,1,0,0
0.771618654,0,0,0
0.771631864,1,0,0
0.771631886,1,1,0
0.771632328,1,1,1
0.871621976,0,1,1
0.871621986,0,1,0
0.871622070,0,0,0
0.871635336,1,0,0
0.871635346,1,0,1
0.871635366,1,1,1
0.971624914,1,1,0
0.971625490,0,1,0
0.971630350,0,0,0
0.971638796,1,0,0
0.971638820,1,0,1
0.971639030,1,1,1
1.071628556,1,1,0
1.071628684,0,1,0
1.071629046,0,0,0
1.071642244,0,0,1
1.071642246,1,1,1
1.171632044,1,1,0
1.171632478,0,1,0
1.171632526,0,0,0
1.171645720,1,0,0
1.171645726,1,0,1
1.171645734,1,1,1
1.271635150,1,0,1
1.271635200,0,0,1
1.271635742,0,0,0
1.271649168,0,0,1
1.271649170,1,0,1
1.271649198,1,1,1
1.371639304,1,1,0
1.371639326,1,0,0
1.371645754,0,0,0
1.371652594,1,0,0
1.371652622,1,1,0
1.371652632,1,1,1
