Time [s],Server,Client1,Client2
0.000000000,1,1,1
0.006409956,1,1,0
0.006410552,1,0,0
0.006410792,0,0,0
0.006423620,0,0,1
0.006423634,0,1,1
0.006423642,1,1,1
0.106413690,1,0,1
0.106413804,1,0,0
0.106414014,0,0,0
0.106427130,0,1,0
0.106427132,0,1,1
0.106427134,1,1,1
0.206417340,0,1,1
0.206417532,0,0,1
0.206417540,0,0,0
0.206430588,0,0,1
0.206430604,0,1,1
0.206430620,1,1,1
0.306420104,0,1,1
0.306420148,0,1,0
0.306420548,0,0,0
0.306434100,0,0,1
0.306434124,0,1,1
0.306434210,1,1,1
0.406423510,0,1,1
0.406423940,0,1,0
0.406424014,0,0,0
0.406437582,0,1,0
0.406437608,1,1,0
0.406437844,1,1,1
0.506426948,1,1,0
0.506427596,0,1,0
0.506427606,0,0,0
0.506441086,0,1,0
0.506441100,1,1,0
0.506441236,1,1,1
0.606430812,1,1,0
0.606431392,1,0,0
0.606431488,0,0,0
0.606444516,0,0,1
0.606444552,0,1,1
0.606444570,1,1,1
0.706434700,1,1,0
0.706434800,1,0,0
0.706434926,0,0,0
0.706448044,0,0,1
0.706448048,1,0,1
0.706448632,1,1,1
0.806437898,1,1,0
0.806438156,0,1,0
0.806438296,0,0,0
0.806451516,0,0,1
0.806451538,0,1,1
0.806451548,1,1,1
0.906441784,0,1,1
0.906442002,0,1,0
0.906442034,0,0,0
0.906455010,1,0,0
0.906455018,1,0,1
0.906455034,1,1,1
1.006445160,1,1,0
1.006445438,0,1,0
1.006445450,0,0,0
1.006458502,1,0,0
1.006458506,1,1,0
1.006458746,1,1,1
1.106448608,1,1,0
1.106449012,0,1,0
1.106452698,0,0,0
1.106461988,1,0,0
1.106461996,1,1,0
1.106462098,1,1,1
1.206451480,0,1,1
1.206452056,0,1,0
1.206452340,0,0,0
1.206465456,1,0,0
1.206465472,1,0,1
1.206465476,1,1,1
1.306455036,0,1,1
1.306455566,0,1,0
1.306455924,0,0,0
1.306468918,0,0,1
1.306468988,0,1,1
1.306469062,1,1,1
1.406458700,1,1,0
1.406459220,1,0,0
1.406459314,0,0,0
1.406472446,0,0,1
1.406472470,0,1,1
1.406472562,1,1,1
1.506462196,1,0,1
1.506462340,1,0,0
1.506462614,0,0,0
1.506475892,0,0,1
1.506475942,1,0,1
1.506475958,1,1,1
1.606466042,1,1,0
1.606466214,1,0,0
1.606466242,0,0,0
1.606479380,0,0,1
1.606479428,1,0,1
1.606479430,1,1,1
1.706469216,1,1,0
1.706469614,0,1,0
1.706469974,0,0,0
1.706482874,0,0,1
1.706482912,1,0,1
1.706482926,1,1,1
1.806472672,1,1,0
1.806473170,0,1,0
1.806473406,0,0,0
1.806486360,0,0,1
1.806486372,1,0,1
1.806486414,1,1,1
1.906476022,0,1,1
1.906476486,0,0,1
1.906476574,0,0,0
1.906489830,0,0,1
1.906489862,0,1,1
1.906489880,1,1,1
2.006479622,1,0,1
2.006479922,0,0,1
2.006480028,0,0,0
2.006493316,0,0,1
2.006493382,0,1,1
2.006493452,1,1,1
2.106483642,1,1,0
2.106483676,1,0,0
2.106483710,0,0,0
2.106496812,0,0,1
2.106496832,1,0,1
2.106496854,1,1,1
2.206486900,1,0,1
2.206487050,0,0,1
2.206492576,0,0,0
2.206500304,0,0,1
2.206500322,1,0,1
2.206500324,1,1,1
2.306489966,0,1,1
2.306490398,0,1,0
2.306490500,0,0,0
2.306503766,0,0,1
2.306503828,0,1,1
2.306503902,1,1,1
2.406493914,1,0,1
2.406494036,1,0,0
2.406494104,0,0,0
2.406507252,0,0,1
2.406507292,0,1,1
2.406507514,1,1,1
2.506496714,1,1,0
2.506497450,1,0,0
2.506497828,0,0,0
2.506510782,1,0,0
2.506510786,1,1,0
2.506510994,1,1,1
2.606500718,1,1,0
2.606500968,0,1,0
2.606501168,0,0,0
2.606514232,0,0,1
