Time [s],Server,Client1,Client2
0.000000000,1,1,1
0.021681150,1,1,0
0.021681620,1,0,0
0.021681862,0,0,0
0.021694814,0,1,0
0.021694870,0,1,1
0.021694910,1,1,1
0.121684760,1,1,0
0.121684802,1,0,0
0.121685224,0,0,0
0.121698322,0,1,0
0.121698344,0,1,1
0.121698394,1,1,1
0.221687796,0,1,1
0.221688024,0,0,1
0.221688632,0,0,0
0.221701800,0,1,0
0.221701866,0,1,1
0.221702020,1,1,1
0.321691642,1,1,0
0.321692150,0,1,0
0.321692846,0,0,0
0.321705302,0,1,0
0.321705340,0,1,1
0.321705376,1,1,1
0.421694668,1,1,0
0.421695378,0,1,0
0.421695858,0,0,0
0.421708764,0,1,0
0.421708804,0,1,1
0.421708858,1,1,1
0.521698204,0,1,1
0.521699024,0,0,1
0.521699406,0,0,0
0.521712272,0,1,0
0.521712302,0,1,1
0.521712604,1,1,1
0.621701990,1,1,0
0.621702438,0,1,0
0.621703190,0,0,0
0.621715742,0,1,0
0.621715792,0,1,1
0.621715864,1,1,1
0.721705424,1,1,0
0.721705988,1,0,0
0.721706234,0,0,0
0.721719260,0,1,0
0.721719272,0,1,1
0.721719330,1,1,1
0.821709304,1,1,0
0.821709564,0,1,0
0.821710424,0,0,0
0.821722778,0,0,1
0.821722844,1,0,1
0.821722898,1,1,1
0.921713178,1,1,0
0.921713294,1,0,0
0.921713710,0,0,0
0.921726238,0,1,0
0.921726258,0,1,1
0.921726334,1,1,1
1.021716458,1,1,0
1.021716536,0,1,0
1.021716602,0,0,0
1.021729714,0,1,0
1.021729772,0,1,1
1.021729832,1,1,1
1.121719612,1,1,0
1.121720016,1,0,0
1.121720018,0,0,0
1.121733216,0,1,0
1.121733228,0,1,1
1.121733306,1,1,1
1.221722964,0,1,1
1.221723012,0,0,1
1.221723500,0,0,0
1.221736700,0,1,0
1.221736748,0,1,1
1.221736788,1,1,1
1.321727020,1,1,0
1.321727478,0,1,0
1.321727696,0,0,0
1.321740178,0,1,0
1.321740246,0,1,1
1.321740406,1,1,1
1.421730064,0,1,1
1.421730396,0,0,1
1.421730694,0,0,0
1.421743702,0,0,1
1.421743710,0,1,1
1.421743768,1,1,1
1.521733826,1,0,1
1.521733906,0,0,1
1.521733966,0,0,0
1.521747154,0,1,0
1.521747198,0,1,1
1.521747274,1,1,1
1.621737098,0,1,1
1.621737358,0,1,0
1.621737718,0,0,0
1.621750662,0,1,0
1.621750728,0,1,1
1.621750748,1,1,1
1.721740890,1,0,1
1.721741180,0,0,1
1.721741334,0,0,0
1.721754170,0,1,0
1.721754192,0,1,1
1.721754244,1,1,1
1.821744014,1,1,0
1.821744518,0,1,0
1.821744918,0,0,0
1.821757630,0,1,0
1.821757656,0,1,1
1.821757726,1,1,1
1.921747918,1,1,0
1.921748018,1,0,0
1.921748126,0,0,0
1.921761130,0,1,0
1.921761160,0,1,1
1.921761230,1,1,1
2.021751030,1,1,0
2.021751316,1,0,0
2.021751550,0,0,0
2.021764630,0,1,0
2.021764640,0,1,1
2.021764704,1,1,1
2.121754704,1,0,1
2.121754774,1,0,0
2.121758904,0,0,0
2.121768106,0,1,0
2.121768136,0,1,1
2.121768184,1,1,1
2.221758004,1,0,1
2.221758030,1,0,0
2.221758384,0,0,0
2.221771614,0,1,0
2.221771638,0,1,1
2.221771666,1,1,1
2.321761552,1,0,1
2.321761686,1,0,0
2.321762048,0,0,0
2.321775114,0,1,0
2.321775126,0,1,1
2.321775170,1,1,1
2.421764740,1,1,0
2.421765178,0,1,0
2.421765396,0,0,0
2.421778604,0,1,0
2.421778630,0,1,1
2.421778666,1,1,1
2.521768170,0,1,1
2.521768392,0,0,1
2.521768652,0,0,0
2.521782088,0,1,0
2.521782126,0,1,1
2.521782180,1,1,1
2.621772162,0,1,1
2.621772548,0,1,0
2.621772698,0,0,0
2.621785612,0,0,1
2.621785636,1,0,1
2.621785676,1,1,1
2.721775438,1,0,1
2.721775474,1,0,0
2.721775602,0,0,0
2.721789054,0,1,0
2.721789092,0,1,1
2.721789124,1,1,1
2.821778432,1,0,1
2.821779146,1,0,0
2.821779514,0,0,0
2.821792546,0,1,0
2.821792570,0,1,1
2.821792636,1,1,1
2.921783068,1,0,1
2.921783306,0,0,1
2.921789994,0,0,0
2.921796020,0,1,0
2.921796082,0,1,1
2.921796098,1,1,1
3.021786130,0,1,1
3.021786184,0,1,0
3.021786342,0,0,0
3.021799542,0,1,0
3.021799584,0,1,1
3.021799586,1,1,1
3.121789674,0,1,1
3.121789802,0,0,1
3.121789854,0,0,0
3.121803010,0,1,0
3.121803056,0,1,1
3.121803098,1,1,1
3.221792940,1,0,1
3.221793208,0,0,1
3.221793692,0,0,0
3.221806508,0,1,0
3.221806542,0,1,1
3.221806594,1,1,1
3.321796620,1,1,0
3.321797368,0,1,0
3.321797750,0,0,0
3.321809992,0,1,0
3.321810020,0,1,1
3.321810178,1,1,1
3.421799560,0,1,1
3.421799818,0,1,0
3.421800314,0,0,0
3.421813466,0,1,0
3.421813522,0,1,1
3.421813568,1,1,1
3.521803782,0,1,1
3.521804168,0,1,0
3.521804396,0,0,0
3.521816988,0,1,0
3.521817010,0,1,1
3.521817032,1,1,1
3.621806662,0,1,1
3.621807166,0,1,0
3.621807534,0,0,0
3.621820512,0,0,1
3.621820518,1,0,1
3.621820638,1,1,1
3.721809828,1,1,0
3.721810388,0,1,0
3.721810504,0,0,0
3.721823946,0,1,0
3.721823990,1,1,1
3.821813802,1,1,0
3.821814340,0,1,0
3.821814938,0,0,0
3.821827460,0,0,1
3.821827500,1,0,1
3.821827612,1,1,1
3.921817556,1,0,1
3.921817704,1,0,0
3.921817914,0,0,0
3.921830968,0,0,1
3.921830972,1,0,1
3.921831110,1,1,1
4.021820862,1,0,1
4.021821206,1,0,0
4.021821274,0,0,0
4.021834408,0,1,0
4.021834446,0,1,1
4.021834474,1,1,1
4.121824458,1,1,0
4.121824736,1,0,0
4.121825000,0,0,0
4.121837922,0,1,0
4.121837932,0,1,1
4.121837978,1,1,1
4.221827432,0,1,1
4.221827794,0,0,1
4.221827840,0,0,0
4.221841404,0,1,0
4.221841408,0,1,1
4.221841440,1,1,1
4.321831380,1,0,1
4.321831502,1,0,0
4.321831574,0,0,0
4.321844894,0,0,1
4.321844908,0,1,1
4.321844918,1,1,1
4.421834308,0,1,1
4.421834386,0,1,0
4.421834390,0,0,0
4.421848398,0,1,0
4.421848428,0,1,1
4.421848430,1,1,1
4.521838352,1,0,1
4.521838626,0,0,1
4.521838760,0,0,0
4.521851864,0,0,1
4.521851872,0,1,1
4.521851924,1,1,1
4.621841552,0,1,1
4.621841982,0,1,0
4.621842394,0,0,0
4.621855338,0,1,0
4.621855370,1,1,0
4.621855374,1,1,1
4.721844962,1,1,0
4.721845386,1,0,0
4.721845486,0,0,0
4.721858828,0,1,0
4.721858848,1,1,0
4.721858850,1,1,1
4.821848174,1,1,0
4.821848276,0,1,0
4.821848852,0,0,0
4.821862332,0,1,0
4.821862358,1,1,0
4.821862360,1,1,1
4.921852356,1,1,0
4.921852518,1,0,0
4.921853322,0,0,0
4.921865798,0,1,0
4.921865820,0,1,1
4.921865956,1,1,1
5.021855728,0,1,1
5.021855752,0,1,0
5.021856046,0,0,0
5.021869304,0,1,0
5.021869314,0,1,1
5.021869338,1,1,1
5.121859470,1,1,0
5.121859520,1,0,0
5.121859678,0,0,0
5.121872800,1,0,0
5.121872808,1,1,0
5.121872814,1,1,1
5.221862298,1,1,0
5.221862792,1,0,0
5.221862812,0,0,0
5.221876274,0,1,0
5.221876310,1,1,0
5.221876322,1,1,1
5.321865626,0,1,1
5.321866242,0,0,1
5.321866318,0,0,0
5.321879762,0,1,0
5.321879792,0,1,1
5.321879794,1,1,1
5.421869130,1,0,1
5.421869420,1,0,0
5.421870144,0,0,0
5.421883256,1,0,0
5.421883274,1,1,0
5.421883428,1,1,1
5.521873484,0,1,1
5.521873584,0,1,0
5.521873868,0,0,0
5.521886740,0,1,0
5.521886774,1,1,0
5.521886776,1,1,1
5.621876570,0,1,1
5.621876628,0,1,0
5.621877268,0,0,0
5.621890234,1,0,0
5.621890252,1,1,1
5.721880236,1,0,1
5.721880328,1,0,0
5.721880478,0,0,0
5.721893718,0,1,0
5.721893730,0,1,1
5.721893736,1,1,1
5.821883292,1,1,0
5.821883702,1,0,0
5.821883836,0,0,0
5.821897212,1,0,0
5.821897222,1,1,0
5.821897230,1,1,1
5.921887614,1,0,1
5.921887896,1,0,0
5.921888080,0,0,0
5.921900688,0,0,1
5.921900704,1,0,1
5.921900830,1,1,1
6.021890508,0,1,1
6.021890828,0,1,0
6.021890838,0,0,0
6.021904172,0,0,1
6.021904184,0,1,1
6.021904196,1,1,1
6.121894008,1,1,0
6.121894270,1,0,0
6.121894272,0,0,0
6.121907672,0,0,1
6.121907680,0,1,1
6.121907682,1,1,1
6.221897368,1,0,1
6.221897466,1,0,0
6.221901254,0,0,0
6.221911126,1,0,0
6.221911144,1,1,0
6.221911300,1,1,1
6.321900856,1,0,1
