Time [s],Server,Client1,Client2
0.000000000,1,1,1
0.001051192,0,1,1
0.001051306,0,0,1
0.001051536,0,0,0
0.001064602,1,0,0
0.001064626,1,0,1
0.001064658,1,1,1
0.101054450,1,1,0
0.101054618,1,0,0
0.101054920,0,0,0
0.101068068,0,0,1
0.101068096,1,0,1
0.101068178,1,1,1
0.201058390,0,1,1
0.201058874,0,0,1
0.201059892,0,0,0
0.201071592,1,0,0
0.201071596,1,0,1
0.201071650,1,1,1
0.301061778,1,0,1
0.301061846,0,0,1
0.301061862,0,0,0
0.301075062,0,0,1
0.301075094,1,0,1
0.301075114,1,1,1
0.401064684,0,1,1
0.401064886,0,1,0
0.401065386,0,0,0
0.401078542,1,0,0
0.401078544,1,0,1
0.401078634,1,1,1
0.501068696,1,1,0
0.501068884,0,1,0
0.501069162,0,0,0
0.501082058,0,0,1
0.501082060,1,0,1
0.501082098,1,1,1
0.601071602,1,1,0
0.601072090,1,0,0
0.601072826,0,0,0
0.601085532,1,0,0
0.601085540,1,0,1
0.601085580,1,1,1
0.701075482,0,1,1
0.701076010,0,0,1
0.701076108,0,0,0
0.701089010,1,0,0
0.701089012,1,0,1
0.701089100,1,1,1
0.801078816,0,1,1
0.801078892,0,1,0
0.801079194,0,0,0
0.801092518,0,0,1
0.801092564,0,1,1
0.801092648,1,1,1
0.901082310,1,1,0
0.901082646,0,1,0
0.901082962,0,0,0
0.901095976,0,0,1
0.901096022,1,0,1
0.901096098,1,1,1
1.001085632,1,1,0
1.001085916,0,1,0
1.001086338,0,0,0
1.001099472,0,0,1
1.001099486,1,0,1
1.001099530,1,1,1
1.101088794,0,1,1
1.101089560,0,0,1
1.101089728,0,0,0
1.101102978,0,0,1
1.101102980,1,0,1
1.101103042,1,1,1
1.201092466,0,1,1
1.201092562,0,1,0
1.201092728,0,0,0
1.201106466,1,0,1
1.201106528,1,1,1
1.301096514,1,1,0
1.301096646,1,0,0
1.301096664,0,0,0
1.301109948,0,0,1
1.301109960,1,0,1
1.301110022,1,1,1
1.401099598,0,1,1
1.401099764,0,1,0
1.401100244,0,0,0
1.401113414,1,0,0
1.401113420,1,0,1
1.401113486,1,1,1
1.501103252,1,1,0
1.501103468,0,1,0
1.501103964,0,0,0
1.501116918,0,0,1
1.501116924,1,0,1
1.501116964,1,1,1
1.601106754,1,0,1
1.601107078,1,0,0
1.601109250,0,0,0
1.601120394,1,0,0
1.601120430,1,0,1
1.601120492,1,1,1
1.701110230,1,1,0
1.701110358,0,1,0
1.701110466,0,0,0
1.701123888,1,0,0
