Time [s],Sheep1
0.000000000,1
0.000703750,0
0.000714900,1
0.100703050,0
0.100713000,1
0.200700800,0
0.200711200,1
0.300698300,0
0.300709350,1
0.400696550,0
0.400707600,1
0.500694950,0
0.500705750,1
0.600693850,0
0.600703800,1
0.700691550,0
0.700702050,1
0.800689200,0
0.800700150,1
0.900688250,0
0.900698350,1
1.000685500,0
1.000696450,1
1.100684500,0
1.100694600,1
1.200681850,0
1.200692800,1
1.300679950,0
1.300690950,1
1.400678100,0
1.400689050,1
1.500676600,0
1.500687350,1
1.600675450,0
1.600685400,1
1.700672500,0
1.700683600,1
1.800670650,0
1.800681750,1
1.900669350,0
1.900679850,1
2.000667900,0
2.000678150,1
2.100666100,0
2.100676200,1
2.200663400,0
2.200674350,1
2.300661550,0
2.300672550,1
2.400659750,0
2.400670700,1
2.500658100,0
2.500668850,1
2.600656900,0
2.600667000,1
2.700654850,0
2.700665250,1
2.800652400,0
2.800663350,1
2.900650850,0
2.900661500,1
3.000649500,0
3.000659650,1
3.100646750,0
3.100657850,1
3.200645400,0
3.200655900,1
3.300643200,0
3.300654200,1
3.400641650,0
3.400652300,1
3.500639800,0
3.500650450,1
3.600637850,0
3.600648650,1
3.700637050,0
3.700646750,1
3.800633900,0
3.800644950,1
3.900634950,0
3.900643100,1
4.000630250,0
4.000641200,1
4.100629450,0
4.100639400,1
4.200627100,0
4.200637500,1
4.300624650,0
4.300635750,1
4.400624900,0
4.400633800,1
4.500621250,0
4.500632000,1
4.600619400,0
4.600630200,1
4.700618650,0
4.700628300,1
4.800615650,0
4.800626450,1
4.900614200,0
4.900624600,1
5.000612700,0
5.000622800,1
5.100609950,0
5.100620950,1
5.200609100,0
5.200619100,1
5.300606250,0
5.300617350,1
5.400606200,0
5.400615400,1
5.500604250,0
5.500613500,1
5.600600850,0
5.600611700,1
5.700599800,0
5.700609900,1
5.800597100,0
5.800608050,1
5.900595650,0
5.900606200,1
6.000594300,0
6.000604400,1
6.100592450,0
6.100602550,1
6.200590700,0
6.200600650,1
6.300589100,0
6.300598900,1
6.400586100,0
6.400596950,1
6.500584200,0
6.500595150,1
6.600582500,0
6.600593350,1
6.700581650,0
6.700591500,1
6.800578650,0
6.800589600,1
6.900577050,0
6.900587750,1
7.000575000,0
7.000585950,1
7.100573750,0
7.100584150,1
7.200570000,0
7.200582300,1
7.300570050,0
7.300580450,1
7.400567550,0
7.400578500,1
7.500567150,0
7.500576750,1
7.600564250,0
7.600574800,1
7.700562050,0
7.700573050,1
7.800561450,0
7.800571250,1
7.900558550,0
7.900569400,1
8.000555200,0
8.000567500,1
8.100555300,0
8.100565550,1
8.200553550,0
8.200563850,1
8.300551700,0
8.300561950,1
8.400549400,0
8.400560100,1
8.500547200,0
