Time [s],Sheep1
0.000000000,1
0.066940600,0
0.066950850,1
0.166938500,0
0.166949600,1
0.266937550,0
0.266948200,1
0.366935900,0
0.366947000,1
0.466936300,0
0.466945700,1
0.566934500,0
0.566944500,1
0.666933850,0
0.666943200,1
0.766931000,0
0.766942000,1
0.866930450,0
0.866940750,1
0.966929450,0
0.966939450,1
1.066927800,0
1.066938050,1
1.166925900,0
1.166936850,1
1.266924950,0
1.266935650,1
1.366923300,0
1.366934250,1
1.466921950,0
1.466933050,1
1.566921550,0
1.566931800,1
1.666919450,0
1.666930550,1
1.766919900,0
1.766929200,1
1.866915950,0
1.866927900,1
1.966916050,0
1.966926750,1
2.066915200,0
2.066925450,1
2.166913200,0
2.166924150,1
2.266912100,0
2.266922900,1
2.366910500,0
2.366921600,1
2.466909300,0
2.466920400,1
2.566908900,0
2.566919000,1
2.666906950,0
2.666917750,1
2.766906950,0
2.766916550,1
2.866904600,0
2.866915250,1
2.966903600,0
2.966914050,1
3.066902500,0
3.066912800,1
3.166901050,0
3.166911450,1
3.266899650,0
3.266910200,1
3.366897800,0
3.366908900,1
3.466896600,0
3.466907700,1
3.566896100,0
3.566906350,1
3.666895900,0
3.666905150,1
3.766894350,0
3.766903800,1
3.866892300,0
3.866902550,1
3.966891400,0
3.966901350,1
4.066890250,0
4.066900050,1
4.166888300,0
4.166898800,1
4.266886850,0
4.266897550,1
4.366885200,0
4.366896200,1
4.466883850,0
4.466895000,1
4.566883250,0
4.566893750,1
4.666882100,0
4.666892350,1
4.766881400,0
4.766891150,1
4.866878950,0
4.866889900,1
4.966878150,0
4.966888600,1
5.066878050,0
5.066887400,1
5.166875800,0
5.166886050,1
5.266874450,0
5.266884850,1
5.366874150,0
5.366883500,1
5.466870750,0
5.466882200,1
5.566868250,0
5.566880800,1
5.666870900,0
5.666879700,1
5.766867650,0
5.766878450,1
5.866868300,0
5.866877200,1
5.966865900,0
5.966875900,1
6.066864250,0
6.066874650,1
6.166863100,0
6.166873350,1
6.266862250,0
6.266872050,1
6.366859850,0
6.366870800,1
6.466858650,0
6.466869600,1
6.566857850,0
6.566868400,1
6.666856750,0
6.666867000,1
6.766855550,0
6.766865850,1
6.866855400,0
6.866864550,1
6.966852250,0
6.966863250,1
7.066851550,0
7.066862050,1
7.166851700,0
7.166860750,1
7.266849750,0
7.266859400,1
7.366847150,0
7.366858250,1
7.466845850,0
7.466856950,1
7.566845350,0
7.566855600,1
7.666844050,0
7.666854300,1
7.766842150,0
7.766853100,1
7.866842950,0
7.866851800,1
7.966839750,0
7.966850600,1
8.066839150,0
8.066849300,1
8.166837550,0
8.166848050,1
8.266836600,0
8.266846700,1
8.366835900,0
8.366845450,1
8.466835250,0
8.466844200,1
8.566833000,0
8.566842950,1
8.666832350,0
8.666841750,1
8.766830250,0
8.766840400,1
8.866829800,0
8.866839150,1
8.966827700,0
8.966837950,1
9.066826550,0
9.066836550,1
9.166824900,0
9.166835300,1
9.266823950,0
9.266834050,1
9.366821850,0
9.366832800,1
9.466822900,0
9.466831550,1
9.566820050,0
9.566830300,1
9.666818050,0
9.666829000,1
9.766817500,0
9.766827750,1
9.866815300,0
9.866826500,1
9.966815300,0
9.966825250,1
10.066814100,0
10.066823900,1
10.166809550,0
10.166822550,1
10.266811300,0
10.266821400,1
10.366809100,0
10.366820200,1
10.466807800,0
10.466818900,1
10.566806900,0
10.566817600,1
10.666805250,0
10.666816350,1
10.766804700,0
10.766815000,1
10.866803750,0
10.866813700,1
10.966803700,0
10.966812450,1
11.066800350,0
11.066811200,1
11.166799650,0
11.166809950,1
11.266798600,0
11.266808700,1
11.366796400,0
11.366807400,1
11.466796750,0
11.466806150,1
11.566794450,0
11.566804850,1
11.666789900,0
11.666803400,1
11.766792550,0
11.766802300,1
11.866790700,0
11.866801100,1
11.966790700,0
11.966799750,1
12.066787650,0
12.066798600,1
12.166787150,0
12.166797300,1
12.266784100,0
12.266795950,1
12.366784450,0
12.366794800,1
12.466782400,0
12.466793500,1
12.566781650,0
12.566792150,1
12.666780000,0
12.666790950,1
12.766778700,0
12.766789700,1
12.866778950,0
12.866788350,1
12.966777600,0
12.966787100,1
13.066774850,0
13.066785800,1
13.166774600,0
13.166784550,1
13.266774250,0
13.266783400,1
13.366771750,0
13.366782000,1
13.466769800,0
13.466780750,1
13.566769550,0
13.566779550,1
13.666767450,0
13.666778250,1
13.766766050,0
13.766777050,1
13.866765450,0
13.866775700,1
13.966765600,0
13.966774500,1
14.066762250,0
14.066773200,1
14.166761800,0
14.166771950,1
14.266760450,0
14.266770750,1
14.366759150,0
14.366769400,1
14.466757150,0
