Time [s],Sheep1
0.000000000,1
0.089141000,0
0.089154800,1
0.189139750,0
0.189153600,1
0.289138550,0
0.289152400,1
0.389137300,0
0.389151200,1
0.489136350,0
0.489150050,1
0.589135350,0
0.589148800,1
0.689133900,0
0.689147650,1
0.789132700,0
0.789146400,1
0.889131500,0
0.889145200,1
0.989130350,0
0.989144000,1
1.089128950,0
1.089142850,1
1.189127750,0
1.189141600,1
1.289126500,0
1.289140450,1
1.389125300,0
1.389139250,1
1.489124350,0
1.489138050,1
1.589122900,0
1.589136850,1
1.689122150,0
1.689135600,1
1.789120550,0
1.789134400,1
1.889119500,0
1.889133200,1
1.989118250,0
1.989132050,1
2.089116950,0
2.089130850,1
2.189115950,0
2.189129600,1
2.289114550,0
2.289128450,1
2.389113350,0
2.389127250,1
2.489112350,0
2.489126050,1
2.589110950,0
2.589124850,1
2.689110150,0
2.689123650,1
2.789108550,0
2.789122450,1
2.889107000,0
2.889121250,1
2.989106550,0
2.989120050,1
3.089105550,0
3.089118850,1
3.189103800,0
3.189117650,1
3.289102550,0
3.289116450,1
3.389101350,0
3.389115250,1
3.489100850,0
3.489114050,1
3.589099150,0
3.589112850,1
3.689098200,0
3.689111650,1
3.789096550,0
3.789110450,1
3.889095550,0
3.889109250,1
3.989094300,0
3.989108050,1
4.089093200,0
4.089106850,1
4.189092050,0
4.189105650,1
4.289090550,0
4.289104450,1
4.389089300,0
4.389103250,1
4.489088100,0
4.489102050,1
4.589087100,0
4.589100800,1
4.689086150,0
4.689099600,1
4.789084500,0
4.789098400,1
4.889083450,0
4.889097200,1
4.989082400,0
4.989096000,1
5.089081100,0
5.089094750,1
5.189079700,0
5.189093550,1
5.289078450,0
5.289092350,1
5.389077250,0
5.389091100,1
5.489076100,0
5.489089900,1
5.589075000,0
5.589088700,1
5.689074350,0
5.689087500,1
5.789072800,0
5.789086300,1
5.889071400,0
5.889085050,1
5.989070100,0
5.989083850,1
6.089069000,0
6.089082600,1
6.189067700,0
6.189081450,1
6.289066300,0
6.289080200,1
6.389065050,0
6.389079000,1
6.489063850,0
6.489077750,1
6.589062850,0
6.589076550,1
6.689061550,0
6.689075350,1
6.789060600,0
6.789074100,1
6.889059000,0
6.889072900,1
6.989057700,0
6.989071650,1
7.089056800,0
7.089070450,1
7.189055350,0
7.189069200,1
7.289054100,0
7.289067950,1
7.389052850,0
7.389066800,1
7.489051650,0
7.489065550,1
7.589050450,0
7.589064300,1
7.689049450,0
7.689063100,1
7.789048400,0
7.789061850,1
7.889046800,0
7.889060650,1
7.989045700,0
7.989059450,1
8.089044700,0
8.089058200,1
8.189043350,0
8.189057000,1
8.289041850,0
8.289055750,1
8.389040600,0
8.389054550,1
8.489039400,0
8.489053300,1
8.589038200,0
8.589052100,1
8.689037200,0
8.689050900,1
8.789036150,0
8.789049650,1
8.889034550,0
8.889048400,1
8.989033550,0
8.989047200,1
9.089032200,0
9.089045950,1
9.189031050,0
9.189044750,1
9.289029650,0
9.289043550,1
9.389028450,0
9.389042300,1
9.489027200,0
9.489041100,1
9.589026000,0
9.589039850,1
9.689024950,0
9.689038650,1
9.789023500,0
9.789037400,1
9.889022700,0
9.889036150,1
9.989021100,0
