Time [s],Sheep0S,Sheep1,Sheep2
0.000000000,1,1,1
0.012590732,0,1,1
0.012590790,0,0,1
0.012591538,0,0,0
0.012604246,1,0,0
0.012604274,1,1,0
0.012604364,1,1,1
0.112589196,0,1,1
0.112589250,0,0,1
0.112590268,0,0,0
0.112602624,1,0,0
0.112602626,1,1,0
0.112602694,1,1,1
0.212586882,1,0,1
0.212587570,0,0,1
0.212588054,0,0,0
0.212600934,1,0,0
0.212600978,1,1,0
0.212601046,1,1,1
0.312585572,1,0,1
0.312585996,0,0,1
0.312586596,0,0,0
0.312599288,1,0,0
0.312599342,1,1,0
0.312599360,1,1,1
0.412583868,1,0,1
0.412584074,0,0,1
0.412585048,0,0,0
0.412597632,1,0,0
0.412597686,1,1,0
0.412597712,1,1,1
0.512582210,1,0,1
0.512582780,0,0,1
0.512582968,0,0,0
0.512596006,1,0,0
0.512596030,1,1,0
0.512596048,1,1,1
0.612580314,1,0,1
0.612581172,0,0,1
0.612581430,0,0,0
0.612594356,1,0,0
0.612594378,1,0,1
0.612594388,1,1,1
0.712578384,1,0,1
0.712579122,0,0,1
0.712579562,0,0,0
0.712592684,1,0,0
0.712592718,1,1,1
0.812577226,1,0,1
0.812578052,1,0,0
0.812578154,0,0,0
0.812591040,1,0,0
0.812591048,1,0,1
0.812591084,1,1,1
0.912575666,1,0,1
0.912575798,0,0,1
0.912575870,0,0,0
0.912589398,0,0,1
0.912589402,1,0,1
0.912589440,1,1,1
1.012573944,0,1,1
1.012574082,0,0,1
1.012574924,0,0,0
1.012587712,1,0,0
1.012587762,1,0,1
1.012587766,1,1,1
1.112572174,1,0,1
1.112572868,0,0,1
1.112574024,0,0,0
1.112586076,0,0,1
1.112586080,1,0,1
1.112586126,1,1,1
1.212570962,1,0,1
1.212571224,0,0,1
1.212571570,0,0,0
1.212584410,1,0,0
1.212584432,1,0,1
1.212584458,1,1,1
1.312569010,1,0,1
1.312569590,0,0,1
1.312570258,0,0,0
1.312582778,1,0,0
1.312582784,1,1,0
1.312582790,1,1,1
1.412567422,1,0,1
1.412567512,0,0,1
1.412568172,0,0,0
1.412581112,1,0,0
1.412581148,1,0,1
1.412581152,1,1,1
1.512565496,1,0,1
1.512565654,0,0,1
1.512566300,0,0,0
1.512579468,1,0,0
1.512579482,1,1,0
1.512579506,1,1,1
1.612563828,1,0,1
1.612564630,0,0,1
1.612564902,0,0,0
1.612577812,1,0,0
1.612577816,1,1,0
1.612577856,1,1,1
1.712561986,1,0,1
1.712562382,0,0,1
1.712562926,0,0,0
1.712576150,1,0,0
1.712576188,1,1,0
1.712576194,1,1,1
1.812560684,1,0,1
1.812561314,0,0,1
1.812561568,0,0,0
1.812574492,1,0,0
1.812574508,1,0,1
1.812574542,1,1,1
1.912558882,0,1,1
1.912559040,0,0,1
1.912559690,0,0,0
1.912572860,0,1,0
1.912572862,1,1,0
1.912572872,1,1,1
2.012557638,0,1,1
2.012557648,0,0,1
2.012558596,0,0,0
2.012571190,1,0,0
2.012571220,1,1,0
2.012571236,1,1,1
2.112556016,1,0,1
2.112556118,0,0,1
2.112556944,0,0,0
2.112569544,1,0,0
2.112569574,1,1,0
2.112569578,1,1,1
2.212554226,1,0,1
2.212554424,0,0,1
2.212555060,0,0,0
2.212567864,1,0,0
2.212567912,1,0,1
2.212567916,1,1,1
2.312552502,1,0,1
2.312552828,0,0,1
2.312553420,0,0,0
2.312566208,1,0,0
2.312566276,1,1,1
2.412550814,1,0,1
2.412551026,0,0,1
2.412552226,0,0,0
2.412564580,0,1,0
2.412564586,1,1,0
2.412564618,1,1,1
2.512549356,0,1,1
2.512549376,0,0,1
2.512550298,0,0,0
2.512562916,1,0,0
2.512562954,1,1,1
2.612546872,1,0,1
2.612547360,0,0,1
2.612548046,0,0,0
2.612561258,1,0,0
2.612561302,1,1,0
2.612561316,1,1,1
2.712545632,1,0,1
2.712546146,0,0,1
2.712546722,0,0,0
2.712559614,1,0,0
2.712559616,1,1,0
2.712559638,1,1,1
2.812544148,1,0,1
2.812544858,1,0,0
2.812545060,0,0,0
2.812557956,1,0,0
2.812557960,1,1,0
2.812558018,1,1,1
2.912542556,0,1,1
2.912542582,0,0,1
2.912543100,0,0,0
2.912556280,1,0,0
2.912556312,1,1,0
2.912556346,1,1,1
3.012541026,0,1,1
3.012541766,0,0,1
3.012541872,0,0,0
3.012554628,1,0,0
3.012554646,1,1,0
3.012554684,1,1,1
3.112539496,1,0,1
3.112539628,0,0,1
3.112540288,0,0,0
3.112552966,1,0,0
3.112553008,1,1,0
3.112553056,1,1,1
3.212537584,1,0,1
3.212538268,0,0,1
3.212538424,0,0,0
3.212551316,0,1,0
3.212551318,1,1,0
3.212551374,1,1,1
3.312535974,1,0,1
3.312536124,0,0,1
3.312537064,0,0,0
3.312549660,0,1,0
3.312549688,1,1,0
3.312549748,1,1,1
3.412534036,0,1,1
3.412534162,0,1,0
3.412534192,0,0,0
3.412548000,1,0,0
3.412548008,1,1,0
3.412548082,1,1,1
3.512532752,1,0,1
3.512532970,0,0,1
3.512533616,0,0,0
3.512546350,1,0,0
3.512546372,1,1,0
3.512546422,1,1,1
3.612530762,1,0,1
3.612531428,0,0,1
3.612531796,0,0,0
3.612544696,1,0,0
3.612544708,1,1,0
3.612544786,1,1,1
3.712528678,1,0,1
3.712529074,0,0,1
3.712530122,0,0,0
3.712543042,1,0,0
3.712543050,1,1,0
3.712543106,1,1,1
3.812527662,1,0,1
