Time [s],Sheep0S,Sheep1,Sheep2
0.000000000,1,1,1
0.085907110,1,0,1
0.085908030,0,0,1
0.085908504,0,0,0
0.085920888,0,1,0
0.085921530,1,1,0
0.085921566,1,1,1
0.185905490,1,0,1
0.185906322,0,0,1
0.185906670,0,0,0
0.185919224,0,1,0
0.185919904,0,1,1
0.185919922,1,1,1
0.285904332,1,0,1
0.285904610,0,0,1
0.285905042,0,0,0
0.285917574,0,1,0
0.285918224,0,1,1
0.285918320,1,1,1
0.385902066,1,0,1
0.385903380,0,0,1
0.385903588,0,0,0
0.385915930,0,1,0
0.385916524,0,1,1
0.385916656,1,1,1
0.485900510,1,0,1
0.485901906,1,0,0
0.485902292,0,0,0
0.485914288,0,1,0
0.485914836,0,1,1
0.485915052,1,1,1
0.585898808,1,0,1
0.585900226,1,0,0
0.585900266,0,0,0
0.585912630,0,1,0
0.585913156,0,1,1
0.585913430,1,1,1
0.685897080,1,0,1
0.685898088,0,0,1
0.685898262,0,0,0
0.685910978,0,1,0
0.685911490,0,1,1
0.685911810,1,1,1
0.785895550,1,0,1
0.785896374,0,0,1
0.785896590,0,0,0
0.785909328,0,1,0
0.785909772,0,1,1
0.785910188,1,1,1
0.885894302,1,0,1
0.885895160,0,0,1
0.885895162,0,0,0
0.885907646,0,1,0
0.885908084,0,1,1
0.885908540,1,1,1
0.985892012,1,0,1
0.985893392,1,0,0
0.985893784,0,0,0
0.985906008,0,1,0
0.985906410,0,1,1
0.985906918,1,1,1
1.085890366,1,0,1
1.085891162,0,0,1
1.085891646,0,0,0
1.085904352,0,1,0
1.085904704,0,1,1
1.085905324,1,1,1
1.185888858,1,0,1
1.185890192,1,0,0
1.185890230,0,0,0
1.185902722,0,1,0
1.185903018,0,1,1
1.185903696,1,1,1
1.285888062,1,0,1
1.285888140,0,0,1
1.285888710,0,0,0
1.285901104,0,1,0
1.285901422,0,1,1
1.285902048,1,1,1
1.385885690,1,0,1
1.385886828,1,0,0
1.385887174,0,0,0
1.385899476,0,1,0
1.385899762,0,1,1
1.385900416,1,1,1
1.485884064,1,0,1
1.485885112,1,0,0
1.485885408,0,0,0
1.485897882,0,1,0
1.485898152,0,1,1
1.485898800,1,1,1
1.585882382,1,0,1
1.585882892,1,0,0
1.585883974,0,0,0
1.585896300,0,1,0
1.585896508,0,1,1
1.585897200,1,1,1
1.685880832,1,0,1
1.685881752,1,0,0
1.685881802,0,0,0
1.685894698,0,1,0
1.685894848,0,1,1
1.685895572,1,1,1
1.785879054,1,0,1
1.785879940,1,0,0
1.785880166,0,0,0
1.785893084,0,1,0
1.785893210,0,1,1
1.785893938,1,1,1
1.885878070,1,0,1
1.885878544,1,0,0
1.885878936,0,0,0
1.885891486,0,1,0
1.885891610,0,1,1
1.885892318,1,1,1
1.985875850,1,0,1
1.985876680,1,0,0
1.985877428,0,0,0
1.985889888,0,1,0
1.985889950,0,1,1
1.985890692,1,1,1
2.085874244,1,0,1
2.085875238,1,0,0
2.085875250,0,0,0
2.085888270,0,1,0
2.085888298,0,1,1
2.085889064,1,1,1
2.185872832,1,0,1
2.185873796,1,0,0
2.185874138,0,0,0
2.185886696,0,1,0
2.185886706,0,1,1
2.185887428,1,1,1
2.285871120,1,0,1
2.285872022,0,0,1
2.285872096,0,0,0
2.285885074,0,0,1
2.285885094,0,1,1
2.285885796,1,1,1
2.385869692,1,0,1
2.385870446,1,0,0
2.385870964,0,0,0
2.385883454,0,0,1
2.385883512,0,1,1
2.385884166,1,1,1
2.485868042,1,0,1
2.485868780,1,0,0
2.485869152,0,0,0
2.485881840,0,0,1
2.485881950,0,1,1
2.485882534,1,1,1
2.585866434,1,0,1
2.585867118,1,0,0
2.585867710,0,0,0
2.585880188,0,0,1
2.585880340,0,1,1
2.585880930,1,1,1
2.685864760,1,0,1
2.685865314,0,0,1
2.685865490,0,0,0
2.685878592,0,0,1
2.685878776,0,1,1
2.685879300,1,1,1
2.785863640,1,1,0
2.785863776,1,0,0
2.785864264,0,0,0
2.785876950,0,0,1
2.785877206,0,1,1
2.785877682,1,1,1
2.885862246,1,0,1
2.885862290,1,0,0
2.885862670,0,0,0
2.885875324,0,0,1
2.885875610,0,1,1
2.885876050,1,1,1
2.985859982,1,0,1
2.985860560,1,0,0
2.985861094,0,0,0
2.985873700,0,0,1
2.985874064,0,1,1
2.985874402,1,1,1
3.085858420,1,0,1
3.085859004,0,0,1
3.085859016,0,0,0
3.085872078,0,0,1
3.085872452,0,1,1
3.085872770,1,1,1
3.185857546,1,1,0
3.185857548,1,0,0
3.185858086,0,0,0
3.185870494,0,0,1
3.185870868,0,1,1
3.185871162,1,1,1
3.285855718,0,1,1
3.285855740,0,1,0
3.285856080,0,0,0
3.285868860,0,0,1
3.285869300,0,1,1
3.285869530,1,1,1
3.385853890,1,0,1
3.385854236,1,0,0
3.385854378,0,0,0
3.385867256,0,0,1
3.385867710,0,1,1
3.385867914,1,1,1
3.485852212,1,0,1
3.485852660,1,0,0
3.485852936,0,0,0
3.485865676,0,0,1
3.485866074,0,1,1
3.485866288,1,1,1
3.585850610,1,0,1
3.585850748,1,0,0
3.585851370,0,0,0
3.585864062,0,0,1
3.585864512,0,1,1
3.585864632,1,1,1
3.685849010,1,0,1
3.685849242,0,0,1
3.685849360,0,0,0
3.685862462,0,0,1
3.685862876,0,1,1
3.685863008,1,1,1
3.785847252,1,0,1
3.785847560,1,0,0
3.785847572,0,0,0
3.785860872,0,0,1
3.785861282,0,1,1
3.785861388,1,1,1
3.885846184,1,1,0
3.885846310,1,0,0
3.885846372,0,0,0
3.885859260,0,0,1
3.885859676,0,1,1
3.885859762,1,1,1
3.985844250,1,0,1
3.985844712,1,0,0
3.985844892,0,0,0
3.985857640,0,0,1
3.985858078,0,1,1
3.985858152,1,1,1
4.085842966,1,1,0
4.085843166,1,0,0
4.085843202,0,0,0
4.085856026,0,0,1
4.085856478,0,1,1
4.085856500,1,1,1
4.185840970,1,0,1
4.185841500,1,0,0
4.185841602,0,0,0
4.185854422,0,0,1
4.185854886,0,1,1
4.185854888,1,1,1
4.285839716,1,1,0
4.285839748,1,0,0
4.285840020,0,0,0
4.285852812,0,0,1
4.285853240,1,0,1
4.285853270,1,1,1
4.385837978,1,0,1
4.385838022,0,0,1
4.385838196,0,0,0
4.385851214,0,0,1
4.385851622,1,0,1
4.385851628,1,1,1
4.485835980,1,0,1
4.485836492,1,0,0
4.485836692,0,0,0
4.485849600,0,0,1
4.485850002,1,0,1
4.485850008,1,1,1
4.585834794,1,1,0
4.585835352,0,1,0
4.585835470,0,0,0
4.585847984,0,0,1
4.585848374,1,0,1
4.585848390,1,1,1
4.685832946,1,0,1
4.685833248,1,0,0
4.685833456,0,0,0
4.685846306,0,0,1
4.685846756,1,0,1
4.685846770,1,1,1
4.785831336,1,0,1
4.785831368,0,0,1
4.785831440,0,0,0
4.785844710,0,0,1
4.785845094,1,0,1
4.785845112,1,1,1
4.885830074,1,1,0
4.885830138,0,1,0
4.885830208,0,0,0
4.885843084,0,0,1
4.885843476,1,0,1
4.885843484,1,1,1
4.985827880,1,0,1
4.985828294,0,0,1
4.985828334,0,0,0
4.985841476,0,0,1
4.985841850,1,0,1
4.985841874,1,1,1
5.085826754,1,1,0
5.085826922,1,0,0
5.085826990,0,0,0
5.085839858,0,0,1
5.085840222,1,0,1
5.085840256,1,1,1
5.185824722,1,1,0
5.185824760,1,0,0
5.185824800,0,0,0
5.185838224,0,0,1
5.185838594,1,0,1
5.185838624,1,1,1
5.285823044,1,0,1
5.285823506,0,0,1
5.285823620,0,0,0
5.285836632,0,0,1
5.285836970,1,1,1
5.385821666,1,0,1
5.385821702,0,0,1
5.385822114,0,0,0
5.385835008,0,0,1
5.385835342,1,0,1
5.385835354,1,1,1
5.485819306,1,0,1
5.485820384,1,0,0
5.485820466,0,0,0
5.485833358,0,0,1
5.485833690,0,1,1
5.485833714,1,1,1
5.585818248,1,0,1
5.585818734,1,0,0
5.585818806,0,0,0
5.585831756,0,0,1
5.585832058,0,1,1
5.585832076,1,1,1
5.685817034,1,1,0
5.685817450,1,0,0
5.685817574,0,0,0
5.685830134,0,0,1
5.685830432,0,1,1
5.685830448,1,1,1
5.785815334,1,1,0
5.785815436,1,0,0
5.785815682,0,0,0
5.785828476,0,0,1
5.785828794,0,1,1
5.785828820,1,1,1
5.885813858,0,1,1
5.885813956,0,1,0
5.885814008,0,0,0
5.885826880,0,0,1
5.885827134,0,1,1
5.885827196,1,1,1
5.985811520,1,0,1
5.985811732,0,0,1
5.985811988,0,0,0
5.985825258,0,0,1
5.985825514,0,1,1
5.985825546,1,1,1
6.085809864,1,0,1
6.085810334,1,0,0
6.085810730,0,0,0
6.085823602,0,0,1
6.085823854,0,1,1
6.085823912,1,1,1
6.185808852,0,1,1
6.185808884,0,0,1
6.185809050,0,0,0
6.185821982,0,0,1
6.185822216,0,1,1
6.185822284,1,1,1
6.285806608,1,0,1
6.285807146,1,0,0
6.285807452,0,0,0
6.285820370,0,0,1
6.285820566,0,1,1
6.285820672,1,1,1
6.385805562,1,0,1
6.385805710,1,0,0
6.385805748,0,0,0
6.385818722,0,0,1
6.385818928,0,1,1
6.385819044,1,1,1
6.485803528,0,1,1
6.485803554,0,0,1
6.485804034,0,0,0
6.485817094,0,0,1
6.485817286,0,1,1
6.485817382,1,1,1
6.585801826,1,0,1
6.585802386,0,0,1
6.585802508,0,0,0
6.585815486,0,0,1
6.585815648,0,1,1
6.585815776,1,1,1
6.685800030,1,0,1
6.685800362,0,0,1
6.685800746,0,0,0
6.685813848,0,0,1
6.685814014,0,1,1
6.685814132,1,1,1
6.785798530,1,0,1
6.785798696,0,0,1
6.785798934,0,0,0
6.785812202,0,0,1
6.785812352,0,1,1
6.785812510,1,1,1
6.885797352,1,0,1
6.885797514,0,0,1
6.885797596,0,0,0
6.885810566,0,0,1
6.885810718,0,1,1
6.885810896,1,1,1
6.985795088,1,0,1
6.985795656,1,0,0
6.985795672,0,0,0
6.985808968,0,0,1
6.985809082,0,1,1
6.985809234,1,1,1
7.085793604,1,0,1
7.085794296,1,0,0
7.085794352,0,0,0
7.085807312,0,0,1
7.085807422,0,1,1
7.085807610,1,1,1
7.185791748,1,0,1
7.185792072,1,0,0
7.185792812,0,0,0
7.185805684,0,0,1
7.185805778,0,1,1
7.185805970,1,1,1
7.285790206,1,0,1
7.285791022,1,0,0
7.285791132,0,0,0
7.285804076,0,0,1
7.285804144,0,1,1
7.285804338,1,1,1
7.385788782,1,0,1
7.385789100,0,0,1
7.385789838,0,0,0
7.385802424,0,0,1
7.385802524,0,1,1
7.385802736,1,1,1
7.485787112,1,0,1
7.485787470,0,0,1
7.485787704,0,0,0
7.485800808,0,0,1
7.485800844,0,1,1
7.485801108,1,1,1
7.585785390,1,0,1
7.585786094,0,0,1
7.585786126,0,0,0
7.585799144,0,0,1
7.585799212,0,1,1
7.585799476,1,1,1
7.685784346,1,0,1
7.685784454,1,0,0
7.685785036,0,0,0
7.685797558,0,0,1
7.685797592,0,1,1
7.685797836,1,1,1
7.785782546,1,0,1
7.785782866,1,0,0
7.785783074,0,0,0
7.785795884,0,0,1
7.785795942,0,1,1
7.785796214,1,1,1
7.885781006,1,0,1
7.885781240,1,0,0
7.885781270,0,0,0
7.885794248,0,0,1
7.885794322,0,1,1
7.885794564,1,1,1
7.985778692,1,0,1
7.985779176,0,0,1
7.985779502,0,0,0
7.985792644,0,0,1
7.985792684,0,1,1
7.985792944,1,1,1
8.085777444,0,1,1
8.085777692,0,0,1
8.085777914,0,0,0
8.085791018,0,0,1
8.085791052,0,1,1
8.085791318,1,1,1
8.185776000,1,0,1
8.185776372,0,0,1
8.185776464,0,0,0
8.185789390,0,0,1
8.185789402,0,1,1
8.185789684,1,1,1
8.285773844,1,0,1
8.285774436,0,0,1
8.285774722,0,0,0
8.285787728,0,1,0
8.285787736,0,1,1
8.285788034,1,1,1
8.385772452,1,0,1
8.385772632,0,0,1
8.385772830,0,0,0
8.385786112,0,0,1
8.385786146,0,1,1
8.385786402,1,1,1
8.485771218,0,1,1
8.485771266,0,0,1
8.485771484,0,0,0
8.485784456,0,0,1
8.485784520,0,1,1
8.485784778,1,1,1
8.585769054,1,0,1
8.585769574,1,0,0
8.585769866,0,0,0
8.585782846,0,0,1
8.585782914,0,1,1
8.585783256,1,1,1
8.685767474,1,0,1
8.685768120,0,0,1
8.685768202,0,0,0
8.685781220,0,0,1
8.685781292,0,1,1
8.685781510,1,1,1
8.785765824,1,0,1
8.785766088,0,0,1
8.785766512,0,0,0
8.785779570,0,0,1
8.785779688,0,1,1
8.785779900,1,1,1
8.885764682,1,0,1
8.885764862,0,0,1
8.885765358,0,0,0
8.885777950,0,0,1
8.885778036,0,1,1
8.885778232,1,1,1
8.985762432,1,0,1
8.985763022,1,0,0
8.985763064,0,0,0
8.985776290,0,0,1
8.985776426,0,1,1
8.985776626,1,1,1
9.085760764,1,0,1
9.085761160,0,0,1
9.085761378,0,0,0
9.085774648,0,0,1
9.085774838,0,1,1
9.085774972,1,1,1
9.185759974,1,1,0
9.185760314,1,0,0
9.185760338,0,0,0
9.185773040,0,0,1
9.185773176,0,1,1
9.185773350,1,1,1
9.285757698,1,0,1
9.285758100,0,0,1
9.285758296,0,0,0
9.285771398,0,0,1
9.285771590,0,1,1
9.285771738,1,1,1
9.385756464,1,0,1
9.385756596,0,0,1
9.385756744,0,0,0
9.385769760,0,0,1
9.385769930,0,1,1
9.385770098,1,1,1
9.485754812,1,0,1
9.485755634,1,0,0
9.485755636,0,0,0
9.485768134,0,0,1
9.485768324,0,1,1
9.485768456,1,1,1
9.585752962,1,0,1
9.585753250,1,0,0
9.585753936,0,0,0
9.585766520,0,0,1
9.585766706,0,1,1
9.585766822,1,1,1
9.685751330,1,0,1
9.685751796,0,0,1
9.685751802,0,0,0
9.685764866,0,0,1
9.685765104,0,1,1
9.685765186,1,1,1
9.785749466,1,0,1
9.785749770,0,0,1
9.785750158,0,0,0
9.785763260,0,0,1
9.785763454,0,1,1
9.785763540,1,1,1
9.885748504,1,0,1
9.885748592,1,0,0
9.885748600,0,0,0
9.885761616,0,0,1
9.885761866,0,1,1
9.885761942,1,1,1
9.985746648,0,1,1
9.985747020,0,0,1
9.985747088,0,0,0
9.985759976,0,0,1
9.985760220,0,1,1
9.985760300,1,1,1
10.085744646,1,0,1
10.085744944,0,0,1
10.085745072,0,0,0
10.085758342,0,0,1
10.085758588,0,1,1
10.085758674,1,1,1
10.185742994,1,0,1
10.185743728,0,0,1
10.185743792,0,0,0
10.185756680,0,0,1
10.185756978,0,1,1
10.185757036,1,1,1
10.285741366,1,0,1
10.285741590,1,0,0
10.285741594,0,0,0
10.285755072,0,0,1
10.285755344,0,1,1
10.285755406,1,1,1
10.385740174,0,1,1
10.385740268,0,0,1
10.385740388,0,0,0
10.385753442,0,0,1
10.385753712,0,1,1
10.385753732,1,1,1
10.485738772,1,0,1
10.485738922,0,0,1
10.485739034,0,0,0
10.485751796,0,0,1
10.485752092,0,1,1
10.485752106,1,1,1
10.585736904,1,0,1
10.585737118,1,0,0
10.585737192,0,0,0
10.585750180,0,0,1
10.585750432,0,1,1
10.585750486,1,1,1
10.685735034,1,0,1
10.685735448,0,0,1
10.685735488,0,0,0
10.685748554,0,0,1
10.685748808,0,1,1
10.685748856,1,1,1
10.785733206,1,0,1
10.785733436,0,0,1
10.785733832,0,0,0
10.785746892,0,0,1
10.785747192,0,1,1
10.785747204,1,1,1
10.885732190,1,0,1
10.885732200,0,0,1
10.885732340,0,0,0
10.885745272,0,0,1
10.885745544,0,1,1
10.885745580,1,1,1
10.985729964,1,0,1
10.985730376,1,0,0
10.985730442,0,0,0
10.985743646,0,0,1
10.985743918,0,1,1
10.985743958,1,1,1
11.085728478,1,0,1
11.085729038,0,0,1
11.085729094,0,0,0
11.085741984,0,0,1
11.085742296,0,1,1
11.085742330,1,1,1
11.185726892,1,0,1
11.185727604,1,0,0
11.185727642,0,0,0
11.185740362,0,0,1
11.185740664,1,0,1
11.185740668,1,1,1
11.285724646,1,0,1
11.285725562,1,0,0
11.285726062,0,0,0
11.285738708,0,0,1
11.285739036,0,1,1
11.285739042,1,1,1
11.385723560,1,0,1
11.385723962,0,0,1
11.385724058,0,0,0
11.385737076,0,0,1
11.385737386,1,0,1
11.385737414,1,1,1
11.485721964,1,0,1
11.485722400,1,0,0
11.485722756,0,0,0
11.485735436,0,0,1
11.485735742,0,1,1
11.485735772,1,1,1
11.585720284,1,0,1
11.585720584,1,0,0
11.585720806,0,0,0
11.585733808,0,0,1
11.585734110,0,1,1
11.585734122,1,1,1
11.685719282,1,1,0
11.685719394,0,1,0
11.685719436,0,0,0
11.685732182,0,0,1
11.685732488,0,1,1
11.685732522,1,1,1
11.785717442,1,0,1
11.785717498,1,0,0
11.785717706,0,0,0
11.785730556,0,0,1
11.785730876,1,1,1
11.885715450,1,0,1
11.885715938,1,0,0
11.885716022,0,0,0
11.885728926,0,0,1
11.885729222,1,0,1
11.885729240,1,1,1
11.985713852,1,0,1
11.985714168,1,0,0
11.985714360,0,0,0
11.985727270,0,0,1
11.985727584,0,1,1
11.985727610,1,1,1
12.085712244,1,0,1
12.085712556,1,0,0
12.085712638,0,0,0
12.085725660,0,0,1
12.085725934,0,1,1
12.085725972,1,1,1
12.185710838,1,0,1
12.185711070,1,0,0
12.185711328,0,0,0
12.185724014,0,0,1
12.185724332,0,1,1
12.185724340,1,1,1
12.285708438,1,0,1
12.285708948,0,0,1
12.285709316,0,0,0
12.285722416,0,0,1
12.285722676,1,0,1
12.285722706,1,1,1
12.385707228,1,0,1
12.385707676,1,0,0
12.385707772,0,0,0
12.385720820,0,0,1
12.385721026,1,0,1
12.385721042,1,1,1
12.485705678,1,0,1
12.485706092,1,0,0
12.485706448,0,0,0
12.485719186,0,0,1
12.485719412,0,1,1
12.485719416,1,1,1
12.585704054,1,0,1
12.585704116,0,0,1
12.585704322,0,0,0
12.585717592,0,0,1
12.585717776,1,0,1
12.585717794,1,1,1
12.685702138,1,0,1
12.685702726,1,0,0
12.685702882,0,0,0
12.685715998,0,0,1
12.685716146,1,0,1
12.685716164,1,1,1
12.785700690,1,0,1
12.785701102,0,0,1
12.785701368,0,0,0
12.785714384,0,0,1
12.785714490,1,0,1
12.785714556,1,1,1
12.885699072,1,0,1
12.885699554,0,0,1
12.885699748,0,0,0
12.885712760,0,0,1
12.885712848,1,0,1
12.885712886,1,1,1
12.985697238,1,0,1
12.985697662,0,0,1
12.985697864,0,0,0
12.985711178,0,0,1
12.985711218,1,0,1
12.985711310,1,1,1
13.085695624,1,0,1
13.085695788,0,0,1
13.085696262,0,0,0
13.085709574,0,0,1
13.085709604,1,0,1
13.085709654,1,1,1
13.185694238,1,0,1
13.185694962,0,0,1
13.185695012,0,0,0
13.185707940,0,0,1
13.185707950,1,0,1
13.185708014,1,1,1
13.285692214,1,0,1
13.285693022,0,0,1
13.285693262,0,0,0
13.285706320,0,0,1
13.285706332,1,0,1
13.285706380,1,1,1
13.385691022,1,0,1
13.385691144,0,0,1
13.385691826,0,0,0
13.385704670,0,0,1
13.385704692,1,0,1
13.385704792,1,1,1
13.485688676,1,0,1
13.485689986,1,0,0
13.485690522,0,0,0
13.485703034,1,0,0
13.485703046,1,0,1
13.485703144,1,1,1
13.585687646,1,0,1
13.585687672,0,0,1
13.585688600,0,0,0
13.585701398,1,0,0
13.585701442,1,0,1
13.585701504,1,1,1
13.685686062,1,0,1
13.685686554,0,0,1
13.685686762,0,0,0
13.685699764,1,0,0
13.685699780,1,0,1
13.685699878,1,1,1
13.785684474,1,0,1
13.785684992,0,0,1
13.785685200,0,0,0
13.785698132,1,0,0
13.785698180,1,0,1
13.785698252,1,1,1
13.885682832,1,0,1
13.885683148,0,0,1
13.885683474,0,0,0
13.885696488,1,0,0
13.885696548,1,0,1
13.885696644,1,1,1
13.985681100,0,1,1
13.985681198,0,0,1
13.985681612,0,0,0
13.985694864,1,0,0
13.985694882,1,0,1
13.985695018,1,1,1
14.085678952,1,0,1
14.085679074,0,0,1
14.085679638,0,0,0
14.085693200,1,0,0
14.085693252,1,0,1
14.085693376,1,1,1
14.185677968,1,0,1
14.185678188,0,0,1
14.185678572,0,0,0
14.185691606,1,0,0
14.185691646,1,0,1
14.185691736,1,1,1
14.285676744,0,1,1
14.285676806,0,1,0
14.285678360,0,0,0
14.285689962,1,0,0
14.285689992,1,0,1
14.285690136,1,1,1
14.385674512,0,1,1
14.385675290,0,1,0
14.385675598,0,0,0
14.385688324,1,0,0
14.385688350,1,0,1
14.385688502,1,1,1
14.485673142,1,0,1
14.485673646,1,0,0
14.485673658,0,0,0
14.485686670,1,0,0
14.485686750,1,0,1
14.485686870,1,1,1
14.585671486,0,1,1
14.585671878,0,0,1
14.585672130,0,0,0
14.585685042,1,0,0
14.585685118,1,0,1
14.585685248,1,1,1
14.685669682,1,0,1
14.685670108,0,0,1
14.685670230,0,0,0
14.685683386,1,0,0
14.685683458,1,0,1
14.685683588,1,1,1
14.785668234,1,0,1
14.785668366,0,0,1
14.785668832,0,0,0
14.785681770,1,0,0
14.785681808,1,0,1
14.785681966,1,1,1
14.885666512,0,1,1
14.885666812,0,0,1
14.885667180,0,0,0
14.885680122,1,0,0
14.885680212,1,0,1
14.885680322,1,1,1
14.985664506,0,1,1
14.985664884,0,0,1
14.985664988,0,0,0
14.985678468,1,0,0
14.985678564,1,0,1
14.985678706,1,1,1
15.085663058,1,0,1
15.085663436,0,0,1
15.085663914,0,0,0
15.085676862,1,0,0
15.085676926,1,0,1
15.085677088,1,1,1
15.185661422,1,0,1
15.185661778,0,0,1
15.185662382,0,0,0
15.185675190,1,0,0
15.185675314,1,0,1
15.185675448,1,1,1
15.285659386,1,0,1
15.285660200,0,0,1
15.285660374,0,0,0
15.285673566,1,0,0
15.285673686,1,0,1
15.285673804,1,1,1
15.385658516,1,0,1
15.385658762,0,0,1
15.385658978,0,0,0
15.385671928,1,0,0
15.385672062,1,0,1
15.385672178,1,1,1
15.485656712,1,0,1
15.485657290,0,0,1
15.485657536,0,0,0
15.485670296,1,0,0
15.485670402,1,0,1
15.485670532,1,1,1
15.585654898,0,1,1
15.585655054,0,0,1
15.585655812,0,0,0
15.585668666,1,0,0
15.585668766,1,0,1
15.585668886,1,1,1
15.685653446,1,0,1
15.685653716,0,0,1
15.685654050,0,0,0
15.685667004,1,0,0
15.685667154,1,0,1
15.685667232,1,1,1
15.785651584,1,0,1
15.785651960,0,0,1
15.785652510,0,0,0
15.785665388,1,0,0
15.785665530,1,0,1
15.785665566,1,1,1
15.885650282,1,0,1
15.885650428,0,0,1
15.885650860,0,0,0
15.885663722,1,0,0
15.885663890,1,0,1
15.885663922,1,1,1
15.985648344,0,1,1
15.985648458,0,0,1
15.985649198,0,0,0
15.985662112,1,0,0
15.985662258,1,0,1
15.985662278,1,1,1
16.085646606,1,0,1
16.085646676,0,0,1
16.085647480,0,0,0
16.085660446,1,0,0
16.085660634,1,1,0
16.085660666,1,1,1
16.185644978,1,0,1
16.185645456,0,0,1
16.185646068,0,0,0
16.185658828,1,0,0
16.185658994,1,0,1
16.185659006,1,1,1
16.285643312,1,0,1
16.285643814,0,0,1
16.285644108,0,0,0
16.285657178,1,0,0
16.285657342,1,1,0
16.285657376,1,1,1
16.385641802,0,1,1
16.385641990,0,0,1
16.385642696,0,0,0
16.385655528,1,0,0
16.385655692,1,1,0
16.385655714,1,1,1
16.485640282,1,0,1
16.485640876,0,0,1
16.485641036,0,0,0
16.485653896,1,0,0
16.485654014,1,1,0
16.485654096,1,1,1
16.585638626,1,0,1
16.585639152,0,0,1
16.585639264,0,0,0
16.585652274,1,0,0
16.585652356,1,1,0
