Time [s],Sheep0S,Sheep1,Sheep2
0.000000000,1,1,1
0.013915478,1,0,1
0.013916124,0,0,1
0.013916998,0,0,0
0.013929192,0,1,0
0.013929254,1,1,0
0.013929272,1,1,1
0.113913990,0,1,1
0.113914114,0,0,1
0.113914624,0,0,0
0.113927580,0,1,0
0.113927632,1,1,0
0.113927646,1,1,1
0.213912052,1,0,1
0.213912308,0,0,1
0.213913638,0,0,0
0.213925960,0,1,0
0.213926034,0,1,1
0.213926038,1,1,1
0.313910332,0,1,1
0.313910366,0,0,1
0.313911292,0,0,0
0.313924330,0,1,0
0.313924396,0,1,1
0.313924404,1,1,1
0.413909194,1,0,1
0.413909362,0,0,1
0.413909940,0,0,0
0.413922746,0,1,0
0.413922788,1,1,0
0.413922810,1,1,1
0.513907452,1,0,1
0.513907972,0,0,1
0.513908150,0,0,0
0.513921138,0,1,0
0.513921152,1,1,0
0.513921190,1,1,1
0.613905840,1,0,1
0.613906144,0,0,1
0.613906372,0,0,0
0.613919500,0,1,0
0.613919572,1,1,0
0.613919588,1,1,1
0.713904266,0,1,1
0.713904696,0,1,0
0.713904994,0,0,0
0.713917850,0,1,0
0.713917910,1,1,0
0.713917958,1,1,1
0.813902328,1,0,1
0.813903582,0,0,1
0.813903798,0,0,0
0.813916272,0,1,0
0.813916308,1,1,0
0.813916332,1,1,1
0.913900276,1,0,1
0.913901740,1,0,0
0.913902022,0,0,0
0.913914654,0,1,0
0.913914696,0,1,1
0.913914710,1,1,1
1.013899764,1,0,1
1.013899938,0,0,1
1.013900472,0,0,0
1.013912988,0,1,0
1.013913062,1,1,0
1.013913080,1,1,1
1.113898066,0,1,1
1.113898090,0,0,1
1.113898278,0,0,0
1.113911376,0,1,0
1.113911450,1,1,0
1.113911484,1,1,1
1.213896316,1,0,1
1.213896378,1,0,0
1.213896442,0,0,0
1.213909770,0,1,0
1.213909824,1,1,0
1.213909866,1,1,1
1.313894700,0,1,1
1.313895192,0,1,0
1.313898534,0,0,0
1.313908174,0,1,0
1.313908214,1,1,0
1.313908236,1,1,1
1.413893050,1,0,1
1.413893196,0,0,1
1.413893592,0,0,0
1.413906528,0,1,0
1.413906620,1,1,0
1.413906628,1,1,1
1.513891220,1,0,1
1.513891724,0,0,1
1.513891964,0,0,0
1.513904916,0,1,0
1.513904992,1,1,0
1.513905010,1,1,1
1.613889870,0,1,1
1.613889922,0,0,1
1.613890300,0,0,0
1.613903300,0,1,0
1.613903340,1,1,0
1.613903372,1,1,1
1.713888306,0,1,1
1.713888308,0,1,0
1.713888342,0,0,0
1.713901702,0,1,0
1.713901734,1,1,0
1.713901776,1,1,1
1.813886752,1,0,1
1.813887268,1,0,0
1.813887302,0,0,0
1.813900076,0,1,0
1.813900134,1,1,0
1.813900140,1,1,1
1.913885124,1,0,1
1.913885764,1,0,0
1.913885952,0,0,0
1.913898462,0,1,0
1.913898508,0,1,1
1.913898510,1,1,1
2.013883530,1,0,1
2.013884294,0,0,1
2.013884582,0,0,0
2.013896848,0,1,0
2.013896878,1,1,0
2.013896910,1,1,1
2.113881900,1,0,1
2.113882192,0,0,1
2.113882280,0,0,0
2.113895256,1,0,0
2.113895270,1,1,0
2.113895272,1,1,1
2.213879676,1,0,1
2.213879972,0,0,1
2.213880150,0,0,0
2.213893630,0,1,0
2.213893638,0,1,1
2.213893660,1,1,1
2.313878536,0,1,1
2.313878904,0,0,1
2.313878978,0,0,0
2.313892006,1,0,0
2.313892018,1,1,0
2.313892024,1,1,1
2.413876804,1,0,1
2.413877060,0,0,1
2.413877422,0,0,0
2.413890382,0,1,0
2.413890390,1,1,0
2.413890422,1,1,1
2.513874964,1,0,1
2.513875080,0,0,1
2.513875760,0,0,0
2.513888758,1,0,0
2.513888786,1,1,0
2.513888796,1,1,1
2.613872978,1,0,1
2.613873106,0,0,1
2.613873934,0,0,0
2.613887152,0,0,1
2.613887156,0,1,1
2.613887178,1,1,1
2.713872294,1,1,0
2.713872530,1,0,0
2.713873596,0,0,0
2.713885506,0,1,0
2.713885544,1,1,0
2.713885554,1,1,1
2.813869944,1,0,1
2.813870880,1,0,0
2.813871630,0,0,0
2.813883888,0,1,0
2.813883912,1,1,0
2.813883928,1,1,1
2.913868500,1,0,1
2.913868960,0,0,1
2.913869394,0,0,0
2.913882266,0,0,1
2.913882270,0,1,1
2.913882300,1,1,1
3.013867434,1,0,1
3.013867656,0,0,1
3.013868356,0,0,0
3.013880672,0,0,1
3.013880686,0,1,1
3.013880698,1,1,1
3.113865382,1,0,1
3.113865680,0,0,1
3.113866474,0,0,0
3.113879046,0,0,1
3.113879050,0,1,1
3.113879068,1,1,1
3.213863976,1,0,1
3.213864008,0,0,1
3.213864020,0,0,0
3.213877392,0,0,1
3.213877432,0,1,1
3.213877436,1,1,1
3.313861756,0,1,1
3.313862774,0,1,0
3.313865110,0,0,0
3.313875774,0,0,1
3.313875792,0,1,1
3.313875832,1,1,1
3.413860658,1,0,1
3.413860772,0,0,1
3.413861152,0,0,0
3.413874144,0,0,1
3.413874148,0,1,1
3.413874198,1,1,1
3.513859238,1,0,1
3.513859262,1,0,0
3.513859446,0,0,0
3.513872524,0,0,1
3.513872548,0,1,1
3.513872588,1,1,1
3.613857696,1,1,0
3.613857818,0,1,0
3.613857880,0,0,0
3.613870902,0,0,1
3.613870918,0,1,1
3.613870950,1,1,1
3.713855870,0,1,1
3.713856090,0,1,0
3.713856414,0,0,0
3.713869270,0,1,0
3.713869302,0,1,1
3.713869340,1,1,1
3.813853750,1,0,1
3.813854714,1,0,0
3.813854832,0,0,0
3.813867630,0,0,1
3.813867650,0,1,1
3.813867694,1,1,1
3.913852440,1,0,1
3.913852608,0,0,1
3.913853004,0,0,0
3.913866034,0,1,0
3.913866044,0,1,1
3.913866076,1,1,1
4.013850902,1,0,1
4.013851390,0,0,1
4.013852204,0,0,0
4.013864406,0,0,1
4.013864416,0,1,1
4.013864476,1,1,1
4.113848872,1,0,1
4.113849162,0,0,1
4.113849620,0,0,0
4.113862774,0,1,0
4.113862796,0,1,1
4.113862848,1,1,1
4.213847502,1,1,0
4.213847504,0,1,0
4.213847784,0,0,0
4.213861160,0,1,0
4.213861164,0,1,1
4.213861234,1,1,1
4.313845882,0,1,1
4.313846158,0,0,1
4.313846296,0,0,0
4.313859540,0,1,0
4.313859554,0,1,1
4.313859612,1,1,1
4.413844264,1,0,1
4.413844660,0,0,1
4.413844942,0,0,0
4.413857898,0,0,1
4.413857920,0,1,1
4.413858000,1,1,1
4.513842470,1,0,1
4.513842634,0,0,1
4.513843060,0,0,0
4.513856278,0,0,1
4.513856290,0,1,1
4.513856364,1,1,1
4.613840690,1,0,1
4.613841520,0,0,1
4.613841642,0,0,0
4.613854634,0,1,0
4.613854646,0,1,1
4.613854720,1,1,1
4.713839566,1,0,1
4.713839730,0,0,1
4.713839812,0,0,0
4.713853022,0,1,0
4.713853068,0,1,1
4.713853112,1,1,1
4.813837490,1,0,1
4.813838568,1,0,0
4.813838590,0,0,0
4.813851390,0,1,0
4.813851408,0,1,1
4.813851508,1,1,1
4.913836304,1,0,1
4.913836472,0,0,1
4.913836920,0,0,0
4.913849748,0,1,0
4.913849782,0,1,1
4.913849888,1,1,1
5.013834962,1,0,1
5.013835154,0,0,1
5.013835698,0,0,0
