Time [s],Sheep0S,Sheep1,Sheep2
0.000000000,1,1,1
0.014130196,1,0,1
0.014130408,0,0,1
0.014131176,0,0,0
0.014144124,0,0,1
0.014144138,1,0,1
0.014144142,1,1,1
0.114128230,1,0,1
0.114128672,0,0,1
0.114131032,0,0,0
0.114142498,0,1,0
0.114142516,1,1,0
0.114142528,1,1,1
0.214127208,1,0,1
0.214127790,0,0,1
0.214127812,0,0,0
0.214140882,0,0,1
0.214140890,0,1,1
0.214140934,1,1,1
0.314125578,1,0,1
0.314125840,0,0,1
0.314126170,0,0,0
0.314139288,0,0,1
0.314139308,0,1,1
0.314139312,1,1,1
0.414123494,1,0,1
0.414124590,0,0,1
0.414125012,0,0,0
0.414137680,0,0,1
0.414137714,0,1,1
0.414137726,1,1,1
0.514122688,1,0,1
0.514122902,0,0,1
0.514123186,0,0,0
0.514136048,0,0,1
0.514136110,0,1,1
0.514136112,1,1,1
0.614120490,1,1,0
0.614120864,1,0,0
0.614121436,0,0,0
0.614134470,0,0,1
0.614134508,0,1,1
0.614134522,1,1,1
0.714118824,0,1,1
0.714119218,0,0,1
0.714119958,0,0,0
0.714132898,1,0,0
0.714132906,1,1,1
0.814117390,1,0,1
0.814117934,0,0,1
0.814118370,0,0,0
0.814131274,0,0,1
0.814131276,1,0,1
0.814131290,1,1,1
0.914115976,0,1,1
0.914115994,0,0,1
0.914116798,0,0,0
0.914129664,0,0,1
0.914129682,0,1,1
0.914129708,1,1,1
1.014114172,1,0,1
1.014114374,0,0,1
1.014115098,0,0,0
1.014128044,0,0,1
1.014128060,1,0,1
1.014128072,1,1,1
1.114112160,1,0,1
1.114112598,0,0,1
1.114114840,0,0,0
1.114126460,0,0,1
1.114126462,1,0,1
1.114126494,1,1,1
1.214111498,1,0,1
1.214111738,0,0,1
1.214111794,0,0,0
1.214124846,1,0,1
1.214124874,1,1,1
1.314109264,1,0,1
1.314109760,0,0,1
1.314110320,0,0,0
1.314123266,0,1,0
1.314123270,0,1,1
1.314123274,1,1,1
1.414107430,1,0,1
1.414108528,0,0,1
1.414108532,0,0,0
1.414121638,1,0,0
1.414121652,1,0,1
1.414121668,1,1,1
1.514106678,1,0,1
1.514106788,0,0,1
1.514107110,0,0,0
1.514120030,1,0,0
1.514120058,1,1,0
1.514120060,1,1,1
1.614104448,1,1,0
1.614104744,1,0,0
1.614105320,0,0,0
1.614118448,1,0,0
1.614118476,1,1,0
1.614118478,1,1,1
1.714103166,1,0,1
1.714103592,0,0,1
1.714103908,0,0,0
1.714116844,1,0,0
1.714116854,1,1,0
1.714116860,1,1,1
1.814101332,1,0,1
1.814101788,0,0,1
1.814102392,0,0,0
1.814115214,1,0,0
1.814115254,1,0,1
1.814115278,1,1,1
1.914099982,1,0,1
1.914100218,0,0,1
1.914100800,0,0,0
1.914113602,1,0,0
1.914113668,1,1,1
2.014098404,1,0,1
2.014098838,0,0,1
2.014099388,0,0,0
2.014111994,1,0,0
2.014112034,1,0,1
2.014112048,1,1,1
2.114096132,1,0,1
2.114096524,0,0,1
2.114098580,0,0,0
2.114110386,1,0,0
2.114110442,1,1,0
2.114110480,1,1,1
2.214095256,1,0,1
2.214095668,0,0,1
2.214095710,0,0,0
2.214108770,1,0,0
2.214108854,1,1,0
2.214108874,1,1,1
2.314092930,1,0,1
2.314093668,0,0,1
2.314094230,0,0,0
2.314107182,1,0,0
2.314107254,1,1,0
2.314107266,1,1,1
2.414091472,1,0,1
2.414092450,0,0,1
2.414092898,0,0,0
2.414105562,1,0,0
2.414105650,1,1,0
2.414105654,1,1,1
2.514090298,1,0,1
2.514090834,0,0,1
2.514090924,0,0,0
2.514103980,1,0,0
2.514104044,1,0,1
2.514104048,1,1,1
2.614088410,1,1,0
2.614088740,1,0,0
2.614089288,0,0,0
2.614102346,1,0,0
2.614102428,1,1,0
2.614102442,1,1,1
2.714087254,1,0,1
2.714087862,0,0,1
2.714088036,0,0,0
2.714100732,1,0,0
2.714100850,1,1,0
2.714100864,1,1,1
2.814085518,1,0,1
2.814085978,0,0,1
2.814086538,0,0,0
2.814099148,1,0,0
2.814099238,1,0,1
2.814099248,1,1,1
2.914083862,0,1,1
2.914083882,0,0,1
2.914084550,0,0,0
2.914097550,1,0,0
2.914097622,1,0,1
2.914097656,1,1,1
3.014082124,1,0,1
3.014082216,0,0,1
3.014083166,0,0,0
3.014095904,1,0,0
3.014096026,1,1,1
3.114080136,1,0,1
3.114080420,0,0,1
3.114082346,0,0,0
3.114094328,1,0,0
3.114094408,1,0,1
3.114094430,1,1,1
3.214079220,1,0,1
3.214079600,0,0,1
3.214079834,0,0,0
3.214092714,1,0,0
3.214092796,1,0,1
3.214092816,1,1,1
3.314077428,1,0,1
3.314077610,0,0,1
3.314078266,0,0,0
3.314091082,1,0,0
3.314091172,1,0,1
3.314091210,1,1,1
3.414075460,1,0,1
3.414076368,0,0,1
3.414076480,0,0,0
3.414089468,1,0,0
3.414089596,1,0,1
3.414089624,1,1,1
3.514074382,0,1,1
3.514074512,0,0,1
3.514074828,0,0,0
3.514087854,1,0,0
3.514087982,1,1,0
3.514087990,1,1,1
3.614072572,1,1,0
3.614072704,1,0,0
3.614073196,0,0,0
3.614086260,1,0,0
3.614086374,1,0,1
3.614086394,1,1,1
3.714070474,1,0,1
3.714070772,0,0,1
3.714072094,0,0,0
3.714084636,1,0,0
3.714084766,1,1,0
3.714084776,1,1,1
3.814069488,1,0,1
3.814069880,0,0,1
3.814070330,0,0,0
3.814083032,1,0,0
3.814083150,1,0,1
3.814083172,1,1,1
3.914067246,1,0,1
3.914068278,0,0,1
3.914069086,0,0,0
3.914081430,1,0,0
3.914081510,1,0,1
3.914081536,1,1,1
4.014066976,1,0,1
4.014067222,1,0,0
4.014067400,0,0,0
4.014079802,1,0,0
4.014079900,1,0,1
4.014079932,1,1,1
4.114064422,0,1,1
4.114064618,0,0,1
4.114065482,0,0,0
4.114078220,1,0,0
4.114078290,1,0,1
4.114078322,1,1,1
4.214063230,1,0,1
4.214063560,0,0,1
4.214063886,0,0,0
4.214076584,1,0,0
4.214076684,1,0,1
4.214076696,1,1,1
4.314060790,1,0,1
4.314061346,0,0,1
4.314062014,0,0,0
4.314074988,1,0,0
4.314075068,1,1,0
4.314075088,1,1,1
4.414059318,1,0,1
4.414060328,0,0,1
4.414060640,0,0,0
4.414073390,1,0,0
4.414073448,1,1,0
4.414073480,1,1,1
4.514058664,0,1,1
4.514058712,0,0,1
4.514058996,0,0,0
4.514071770,1,0,0
4.514071852,1,1,0
4.514071858,1,1,1
4.614056412,1,1,0
4.614056620,1,0,0
4.614057002,0,0,0
4.614070150,1,0,0
4.614070220,1,1,0
4.614070222,1,1,1
4.714055098,0,1,1
4.714055160,0,0,1
4.714055690,0,0,0
4.714068524,1,0,0
4.714068584,1,1,0
