Time [s],Sheep0S,Sheep1,Sheep2
0.000000000,1,1,1
0.041320858,1,0,1
0.041320936,0,0,1
0.041321456,0,0,0
0.041334492,1,0,0
0.041334500,1,0,1
0.041334594,1,1,1
0.141319332,0,1,1
0.141319808,0,1,0
0.141319986,0,0,0
0.141332848,1,0,0
0.141332852,1,0,1
0.141332940,1,1,1
0.241317388,0,1,1
0.241317602,0,0,1
0.241319508,0,0,0
0.241331226,1,0,0
0.241331266,1,0,1
0.241331366,1,1,1
0.341316364,0,1,1
0.341316564,0,1,0
0.341316836,0,0,0
0.341329620,1,0,0
0.341329636,1,0,1
0.341329724,1,1,1
0.441314740,0,1,1
0.441314808,0,0,1
0.441314994,0,0,0
0.441327992,1,0,0
0.441328028,1,0,1
0.441328104,1,1,1
0.541312320,0,1,1
0.541313186,0,0,1
0.541313432,0,0,0
0.541326384,1,0,0
0.541326390,1,0,1
0.541326504,1,1,1
0.641311288,0,1,1
0.641311612,0,0,1
0.641312042,0,0,0
0.641324756,1,0,0
0.641324770,1,0,1
0.641324882,1,1,1
0.741309438,0,1,1
0.741309586,0,0,1
0.741309904,0,0,0
0.741323124,1,0,0
0.741323156,1,0,1
0.741323276,1,1,1
0.841307478,1,0,1
0.841307898,0,0,1
0.841308484,0,0,0
0.841321528,0,0,1
0.841321604,0,1,1
0.841321650,1,1,1
0.941306342,1,0,1
0.941306440,1,0,0
0.941306448,0,0,0
0.941319916,1,0,0
0.941319928,1,0,1
0.941320024,1,1,1
1.041304632,1,0,1
1.041305192,0,0,1
1.041305214,0,0,0
1.041318278,1,0,0
1.041318304,1,0,1
1.041318408,1,1,1
1.141303506,0,1,1
1.141303800,0,0,1
1.141303908,0,0,0
1.141316654,1,0,0
1.141316700,1,0,1
1.141316794,1,1,1
1.241301136,0,1,1
1.241301158,0,0,1
1.241303634,0,0,0
1.241315044,1,0,0
1.241315066,1,0,1
1.241315122,1,1,1
1.341299614,1,0,1
1.341300110,0,0,1
1.341300444,0,0,0
1.341313408,1,0,0
1.341313428,1,0,1
1.341313522,1,1,1
1.441298282,1,0,1
1.441298558,0,0,1
1.441299118,0,0,0
1.441311812,1,0,0
1.441311816,1,0,1
1.441311888,1,1,1
1.541297082,0,1,1
1.541297272,0,0,1
1.541298008,0,0,0
1.541310184,0,0,1
1.541310192,1,0,1
1.541310292,1,1,1
1.641295100,0,1,1
1.641295246,0,0,1
1.641295398,0,0,0
1.641308564,0,0,1
1.641308572,1,0,1
1.641308662,1,1,1
1.741293446,0,1,1
1.741293756,0,1,0
1.741293852,0,0,0
1.741306946,1,0,0
1.741306964,1,0,1
1.741307036,1,1,1
1.841291520,1,0,1
1.841291962,0,0,1
1.841292088,0,0,0
1.841305298,1,0,0
