Time [s],Sheep0S,Sheep1,Sheep2
0.000000000,1,1,1
0.002080148,1,0,1
0.002080296,0,0,1
0.002080608,0,0,0
0.002093762,1,0,0
0.002093782,1,0,1
0.002093786,1,1,1
0.102078416,0,1,1
0.102078620,0,1,0
0.102081430,0,0,0
0.102092144,1,0,0
0.102092154,1,0,1
0.102092158,1,1,1
0.202076710,0,1,1
0.202077148,0,0,1
0.202077380,0,0,0
0.202090508,0,0,1
0.202090524,1,0,1
0.202090552,1,1,1
0.302075392,1,0,1
0.302075436,1,0,0
0.302075452,0,0,0
0.302088874,1,0,0
0.302088886,1,0,1
0.302088948,1,1,1
0.402073626,1,1,0
0.402074024,0,1,0
0.402074162,0,0,0
0.402087266,1,0,0
0.402087268,1,0,1
0.402087298,1,1,1
0.502072026,1,0,1
0.502072404,0,0,1
0.502072410,0,0,0
0.502085632,1,0,0
0.502085638,1,0,1
0.502085674,1,1,1
0.602070510,1,1,0
0.602070546,0,1,0
0.602071086,0,0,0
0.602084000,0,0,1
0.602084014,1,0,1
0.602084052,1,1,1
0.702068960,0,1,1
0.702069064,0,0,1
0.702069106,0,0,0
0.702082374,0,0,1
0.702082388,1,0,1
0.702082412,1,1,1
0.802067040,0,1,1
0.802067412,0,0,1
0.802067556,0,0,0
0.802080762,0,0,1
0.802080768,1,0,1
0.802080796,1,1,1
0.902065042,0,1,1
0.902065066,0,1,0
0.902065226,0,0,0
0.902079118,1,0,0
0.902079124,1,0,1
0.902079172,1,1,1
1.002063924,1,0,1
1.002064046,0,0,1
1.002064494,0,0,0
1.002077512,1,0,0
1.002077526,1,1,0
1.002077532,1,1,1
1.102062148,0,1,1
1.102062390,0,1,0
1.102064818,0,0,0
1.102075876,1,0,0
1.102075886,1,0,1
1.102075914,1,1,1
1.202060172,0,1,1
1.202060810,0,0,1
1.202060956,0,0,0
1.202074238,0,0,1
1.202074248,1,0,1
1.202074278,1,1,1
1.302058552,0,1,1
1.302059422,0,0,1
1.302059734,0,0,0
1.302072626,1,0,0
1.302072636,1,0,1
1.302072664,1,1,1
1.402057392,1,1,0
1.402057810,0,1,0
1.402057880,0,0,0
1.402070992,1,0,0
1.402070998,1,0,1
1.402071022,1,1,1
1.502055796,1,0,1
1.502056036,0,0,1
1.502056154,0,0,0
1.502069342,1,0,0
1.502069370,1,0,1
1.502069396,1,1,1
1.602054404,0,1,1
1.602055022,0,1,0
1.602055066,0,0,0
1.602067716,1,0,0
1.602067734,1,0,1
1.602067760,1,1,1
1.702052208,1,1,0
1.702052652,1,0,0
1.702052678,0,0,0
1.702066088,0,0,1
1.702066102,1,0,1
1.702066160,1,1,1
1.802050850,1,0,1
1.802050968,0,0,1
1.802051504,0,0,0
1.802064482,1,0,0
1.802064494,1,0,1
1.802064538,1,1,1
1.902048772,0,1,1
1.902048898,0,0,1
1.902048970,0,0,0
1.902062846,1,0,0
1.902062880,1,0,1
1.902062898,1,1,1
2.002047668,0,1,1
2.002048014,0,0,1
2.002048490,0,0,0
2.002061220,1,0,1
2.002061268,1,1,1
2.102046072,0,1,1
2.102046198,0,1,0
2.102050338,0,0,0
2.102059586,1,0,0
2.102059596,1,0,1
2.102059650,1,1,1
2.202043902,0,1,1
2.202044538,0,0,1
2.202044754,0,0,0
2.202057962,1,0,0
2.202058004,1,0,1
2.202058006,1,1,1
2.302042858,0,1,1
2.302042892,0,0,1
2.302043458,0,0,0
2.302056324,1,0,0
2.302056346,1,0,1
2.302056386,1,1,1
2.402041234,1,1,0
2.402041342,1,0,0
2.402041518,0,0,0
2.402054718,1,0,1
2.402054764,1,1,1
2.502039186,1,1,0
2.502039690,0,1,0
2.502039992,0,0,0
2.502053072,0,0,1
2.502053086,1,0,1
2.502053116,1,1,1
2.602037724,1,1,0
2.602037764,0,1,0
2.602038492,0,0,0
2.602051448,1,0,0
2.602051462,1,0,1
2.602051510,1,1,1
2.702036382,0,1,1
2.702036462,0,0,1
2.702036594,0,0,0
2.702049810,1,0,0
2.702049820,1,0,1
2.702049886,1,1,1
2.802034030,1,0,1
2.802034114,0,0,1
2.802034846,0,0,0
2.802048190,1,0,0
2.802048218,1,0,1
2.802048242,1,1,1
2.902032524,0,1,1
2.902032560,0,1,0
2.902032604,0,0,0
2.902046552,1,0,0
2.902046558,1,0,1
2.902046650,1,1,1
3.002031252,1,0,1
3.002031500,0,0,1
3.002031980,0,0,0
3.002044924,1,0,0
3.002044966,1,0,1
3.002045016,1,1,1
3.102029818,0,1,1
3.102029844,0,1,0
3.102032226,0,0,0
3.102043328,1,0,0
3.102043340,1,0,1
3.102043362,1,1,1
3.202027806,0,1,1
3.202028116,0,0,1
3.202028768,0,0,0
3.202041664,1,0,0
3.202041680,1,0,1
3.202041756,1,1,1
3.302026650,0,1,1
3.302026656,0,0,1
3.302027006,0,0,0
3.302040058,0,0,1
3.302040074,1,0,1
3.302040132,1,1,1
3.402024594,0,1,1
3.402025062,0,1,0
3.402025108,0,0,0
3.402038416,1,0,0
3.402038436,1,0,1
3.402038484,1,1,1
3.502023544,0,1,1
3.502023638,0,1,0
3.502023696,0,0,0
3.502036802,1,0,0
3.502036810,1,0,1
3.502036844,1,1,1
3.602021484,0,1,1
3.602021708,0,1,0
3.602022622,0,0,0
3.602035168,1,0,0
3.602035184,1,0,1
3.602035238,1,1,1
3.702019980,1,0,1
3.702020016,0,0,1
3.702020766,0,0,0
3.702033514,0,0,1
3.702033530,1,0,1
3.702033620,1,1,1
3.802018206,0,1,1
3.802018234,0,0,1
3.802019268,0,0,0
3.802031890,1,0,0
3.802031934,1,0,1
3.802031966,1,1,1
3.902016296,1,1,0
3.902016344,0,1,0
3.902016420,0,0,0
3.902030286,1,0,0
3.902030296,1,0,1
3.902030320,1,1,1
4.002015132,0,1,1
4.002015136,0,0,1
4.002015530,0,0,0
4.002028640,1,0,0
4.002028648,1,0,1
4.002028690,1,1,1
4.102013312,0,1,1
4.102013504,0,1,0
4.102016252,0,0,0
4.102026996,1,0,0
4.102027002,1,0,1
4.102027070,1,1,1
4.202011424,0,1,1
4.202011862,0,0,1
4.202012192,0,0,0
4.202025368,1,0,0
4.202025404,1,0,1
4.202025464,1,1,1
4.302010216,0,1,1
4.302010268,0,1,0
4.302010340,0,0,0
4.302023740,0,0,1
4.302023768,1,0,1
4.302023844,1,1,1
4.402008434,0,1,1
4.402008742,0,0,1
4.402008896,0,0,0
4.402022116,1,0,0
4.402022128,1,0,1
4.402022206,1,1,1
4.502007410,1,0,1
4.502007476,1,0,0
4.502007770,0,0,0
4.502020466,0,0,1
4.502020482,1,0,1
4.502020544,1,1,1
4.602005200,0,1,1
4.602005558,0,1,0
4.602006164,0,0,0
4.602018874,0,0,1
4.602018884,1,0,1
4.602018936,1,1,1
4.702003932,0,0,1
4.702004698,0,0,0
4.702017226,1,0,0
4.702017232,1,0,1
4.702017308,1,1,1
4.802001946,1,0,1
4.802002120,0,0,1
4.802002484,0,0,0
4.802015592,1,0,0
4.802015596,1,0,1
4.802015678,1,1,1
4.901999922,0,1,1
4.901999952,0,1,0
4.902000086,0,0,0
4.902013952,1,0,0
4.902013986,1,0,1
4.902014032,1,1,1
5.001998654,1,0,1
5.001998880,0,0,1
5.001999380,0,0,0
5.002012326,0,0,1
5.002012346,1,0,1
5.002012418,1,1,1
5.101997016,0,1,1
5.101997354,0,1,0
5.102000400,0,0,0
5.102010698,1,0,0
5.102010726,1,0,1
5.102010778,1,1,1
5.201995008,0,1,1
5.201995992,0,1,0
5.201996266,0,0,0
5.202009072,0,0,1
5.202009098,1,0,1
5.202009164,1,1,1
5.301994028,0,1,1
5.301994130,0,1,0
5.301995926,0,0,0
5.302007452,1,0,1
5.302007506,1,1,1
5.401992116,0,1,1
5.401992244,0,1,0
5.401992490,0,0,0
5.402005800,1,0,0
5.402005802,1,0,1
5.402005880,1,1,1
5.501990904,1,1,0
5.501991150,1,0,0
5.501991250,0,0,0
5.502004186,0,0,1
5.502004202,1,0,1
5.502004242,1,1,1
5.601989128,0,1,1
5.601989262,0,1,0
5.601989840,0,0,0
5.602002554,1,0,0
5.602002578,1,0,1
5.602002612,1,1,1
5.701987536,0,1,1
5.701987568,0,0,1
5.701987890,0,0,0
5.702000916,0,0,1
5.702000920,1,0,1
5.702000994,1,1,1
5.801985686,1,0,1
5.801985790,0,0,1
5.801985998,0,0,0
5.801999304,1,0,0
5.801999308,1,0,1
5.801999370,1,1,1
5.901983606,0,1,1
5.901983698,0,1,0
5.901983790,0,0,0
5.901997636,1,0,0
5.901997658,1,0,1
5.901997712,1,1,1
6.001982568,0,1,1
6.001982776,0,0,1
6.001982920,0,0,0
6.001996034,1,0,0
6.001996044,1,0,1
6.001996084,1,1,1
6.101980682,0,1,1
