Time [s],Sheep0S,Sheep1,Sheep2
0.000000000,1,1,1
0.044505746,1,1,0
0.044506402,0,1,0
0.044506494,0,0,0
0.044519642,0,0,1
0.044519696,0,1,1
0.044519758,1,1,1
0.144503812,1,0,1
0.144504672,0,0,1
0.144504956,0,0,0
0.144517994,0,0,1
0.144518066,0,1,1
0.144518160,1,1,1
0.244503346,1,1,0
0.244503682,1,0,0
0.244503850,0,0,0
0.244516382,0,0,1
0.244516458,0,1,1
0.244516488,1,1,1
0.344501542,1,0,1
0.344501806,0,0,1
0.344501980,0,0,0
0.344514748,0,0,1
0.344514788,0,1,1
0.344514874,1,1,1
0.444499194,1,0,1
0.444499820,0,0,1
0.444500076,0,0,0
0.444513110,0,0,1
0.444513136,0,1,1
0.444513226,1,1,1
0.544497268,1,0,1
0.544497534,0,0,1
0.544497782,0,0,0
0.544511464,0,0,1
0.544511516,0,1,1
0.544511576,1,1,1
0.644496444,1,0,1
0.644496512,0,0,1
0.644496686,0,0,0
0.644509858,0,0,1
0.644509918,0,1,1
0.644509948,1,1,1
0.744494436,1,0,1
0.744495212,1,0,0
0.744495820,0,0,0
0.744508196,0,0,1
0.744508270,0,1,1
0.744508322,1,1,1
0.844493044,1,0,1
0.844493062,0,0,1
0.844493594,0,0,0
0.844506592,0,0,1
0.844506640,0,1,1
0.844506676,1,1,1
0.944491006,1,0,1
0.944491032,0,0,1
0.944491890,0,0,0
0.944504956,0,1,0
0.944504974,0,1,1
0.944505034,1,1,1
1.044489344,1,1,0
1.044490016,0,1,0
1.044490586,0,0,0
1.044503320,0,0,1
1.044503324,0,1,1
1.044503412,1,1,1
1.144487508,1,0,1
1.144488302,0,0,1
1.144488494,0,0,0
1.144501662,0,0,1
1.144501714,0,1,1
1.144501790,1,1,1
1.244487000,1,1,0
1.244487042,1,0,0
1.244487298,0,0,0
1.244500078,0,1,0
1.244500084,0,1,1
1.244500142,1,1,1
1.344485236,1,0,1
1.344485368,0,0,1
1.344485386,0,0,0
1.344498422,0,0,1
1.344498432,0,1,1
1.344498516,1,1,1
1.444483114,1,0,1
1.444483456,0,0,1
1.444483658,0,0,0
1.444496780,0,0,1
1.444496800,0,1,1
1.444496860,1,1,1
1.544481028,1,0,1
1.544481178,0,0,1
1.544481664,0,0,0
1.544495134,0,0,1
1.544495138,0,1,1
1.544495220,1,1,1
1.644479694,1,0,1
1.644480136,0,0,1
1.644480616,0,0,0
1.644493504,0,1,0
1.644493524,0,1,1
1.644493576,1,1,1
1.744478278,1,0,1
1.744478858,1,0,0
1.744479866,0,0,0
1.744491854,0,0,1
1.744491882,0,1,1
1.744491944,1,1,1
1.844476640,1,0,1
1.844476712,0,0,1
1.844478210,0,0,0
1.844490234,0,1,0
1.844490250,0,1,1
1.844490322,1,1,1
1.944474610,1,0,1
1.944474810,0,0,1
1.944475584,0,0,0
1.944488598,0,1,0
1.944488618,0,1,1
1.944488660,1,1,1
2.044473084,1,1,0
2.044473650,0,1,0
2.044474468,0,0,0
2.044486956,0,1,0
2.044486964,0,1,1
2.044487046,1,1,1
2.144471194,1,0,1
2.144471946,0,0,1
2.144472134,0,0,0
2.144485334,0,1,0
2.144485340,0,1,1
2.144485392,1,1,1
2.244470046,1,0,1
2.244470692,1,0,0
2.244470694,0,0,0
2.244483688,0,1,1
2.244483750,1,1,1
2.344468298,1,0,1
2.344469062,0,0,1
2.344469260,0,0,0
2.344482028,0,1,0
2.344482072,0,1,1
2.344482124,1,1,1
2.444466402,1,0,1
2.444467024,0,0,1
2.444467372,0,0,0
2.444480434,0,1,0
2.444480444,0,1,1
2.444480466,1,1,1
2.544464616,1,0,1
2.544464794,0,0,1
2.544465376,0,0,0
2.544478794,0,1,0
2.544478822,0,1,1
2.544478840,1,1,1
2.644463378,1,0,1
2.644463930,0,0,1
2.644464108,0,0,0
2.644477150,0,1,0
2.644477168,0,1,1
2.644477200,1,1,1
2.744461864,1,0,1
2.744462610,1,0,0
2.744463154,0,0,0
2.744475504,0,1,0
2.744475562,0,1,1
2.744475574,1,1,1
2.844460138,1,0,1
2.844460254,0,0,1
2.844461290,0,0,0
2.844473872,0,1,0
2.844473908,1,1,0
2.844473938,1,1,1
2.944458224,1,0,1
2.944458226,0,0,1
2.944459078,0,0,0
2.944472214,0,1,0
2.944472270,1,1,0
2.944472282,1,1,1
3.044457168,0,1,1
3.044457202,0,1,0
3.044457286,0,0,0
3.044470578,0,1,0
3.044470648,1,1,0
3.044470684,1,1,1
3.144454632,1,0,1
3.144455562,0,0,1
3.144455912,0,0,0
3.144468942,0,1,0
3.144469006,1,1,0
3.144469038,1,1,1
3.244454466,1,1,0
3.244454568,1,0,0
3.244457878,0,0,0
3.244467312,0,1,0
3.244467362,1,1,0
3.244467372,1,1,1
3.344451816,1,0,1
3.344452406,0,0,1
3.344452610,0,0,0
3.344465656,0,1,0
3.344465704,1,1,0
3.344465736,1,1,1
3.444450436,1,0,1
3.444450918,1,0,0
3.444450982,0,0,0
3.444464018,0,1,0
3.444464092,1,1,0
3.444464122,1,1,1
3.544448230,1,0,1
3.544448442,0,0,1
3.544448982,0,0,0
3.544462394,0,1,0
3.544462442,1,1,0
3.544462468,1,1,1
3.644447322,0,1,1
3.644447374,0,0,1
3.644447892,0,0,0
3.644460754,0,1,0
3.644460808,1,1,0
3.644460844,1,1,1
3.744445842,1,0,1
3.744446114,1,0,0
3.744446586,0,0,0
3.744459118,0,1,0
3.744459148,1,1,0
3.744459186,1,1,1
3.844443768,1,0,1
3.844443862,0,0,1
3.844444516,0,0,0
3.844457496,0,1,0
3.844457514,1,1,0
3.844457554,1,1,1
3.944441864,1,0,1
3.944442144,0,0,1
3.944442858,0,0,0
3.944455852,0,1,0
3.944455882,1,1,0
3.944455930,1,1,1
4.044440776,0,1,1
4.044440808,0,1,0
4.044441344,0,0,0
4.044454204,0,1,0
4.044454222,1,1,0
4.044454280,1,1,1
4.144438186,1,0,1
4.144439220,0,0,1
4.144439428,0,0,0
4.144452566,0,1,0
4.144452578,1,1,0
4.144452614,1,1,1
4.244437388,1,0,1
4.244437746,0,0,1
4.244438104,0,0,0
4.244450932,1,0,0
4.244450940,1,1,0
4.244451010,1,1,1
4.344435570,1,0,1
4.344435882,0,0,1
4.344436734,0,0,0
4.344449284,1,0,0
4.344449298,1,1,0
4.344449372,1,1,1
4.444433880,1,0,1
4.444434480,1,0,0
4.444434564,0,0,0
4.444447614,0,1,0
4.444447646,1,1,0
4.444447728,1,1,1
4.544431872,1,0,1
4.544432000,0,0,1
4.544432352,0,0,0
4.544445994,0,1,0
4.544446002,1,1,0
4.544446050,1,1,1
4.644429928,1,0,1
4.644430856,0,0,1
4.644432056,0,0,0
4.644444352,0,1,0
4.644444378,1,1,0
4.644444422,1,1,1
4.744428310,1,0,1
4.744429458,0,0,1
4.744429758,0,0,0
4.744442726,0,1,0
4.744442728,1,1,0
4.744442796,1,1,1
4.844427338,1,0,1
4.844427816,0,0,1
4.844428030,0,0,0
4.844441068,0,1,0
4.844441080,1,1,0
4.844441152,1,1,1
4.944425624,1,0,1
4.944426054,0,0,1
4.944426652,0,0,0
4.944439438,0,1,0
4.944439456,1,1,0
4.944439526,1,1,1
5.044424374,0,1,1
5.044424710,0,0,1
5.044426726,0,0,0
5.044437820,1,0,0
5.044437822,1,1,0
5.044437886,1,1,1
5.144422396,1,0,1
5.144422490,0,0,1
5.144423206,0,0,0
5.144436144,1,0,0
5.144436168,1,1,0
5.144436248,1,1,1
5.244420732,1,0,1
5.244421286,0,0,1
5.244421582,0,0,0
5.244434498,1,0,0
5.244434506,1,1,0
5.244434576,1,1,1
5.344419230,1,0,1
5.344419322,0,0,1
5.344420208,0,0,0
5.344432856,1,0,0
5.344432876,1,1,0
5.344432934,1,1,1
5.444417442,1,0,1
5.444418090,1,0,0
5.444418140,0,0,0
5.444431232,1,0,0
5.444431256,1,1,0
5.444431294,1,1,1
5.544415530,0,1,1
5.544415652,0,0,1
5.544416052,0,0,0
5.544429576,1,0,0
5.544429620,1,1,0
5.544429682,1,1,1
5.644414170,1,0,1
5.644414486,0,0,1
5.644415086,0,0,0
5.644427928,1,0,0
5.644427946,1,1,0
5.644428038,1,1,1
5.744412616,1,0,1
5.744413392,1,0,0
5.744413762,0,0,0
5.744426276,1,0,0
5.744426300,1,1,0
5.744426382,1,1,1
5.844410960,1,0,1
5.844411026,0,0,1
5.844412520,0,0,0
5.844424634,1,0,0
5.844424692,1,1,0
5.844424752,1,1,1
5.944409014,1,0,1
5.944409334,0,0,1
5.944410082,0,0,0
5.944422988,1,0,0
5.944423048,1,1,0
5.944423116,1,1,1
6.044407888,0,1,1
6.044408206,0,0,1
6.044409446,0,0,0
6.044421378,1,0,0
6.044421410,1,1,0
6.044421494,1,1,1
6.144405926,1,0,1
6.144406256,0,0,1
6.144406722,0,0,0
6.144419700,1,0,0
6.144419744,1,1,0
6.144419852,1,1,1
6.244403870,1,0,1
6.244404778,0,0,1
6.244405212,0,0,0
6.244418068,1,0,0
6.244418142,1,1,0
6.244418204,1,1,1
6.344402978,0,1,1
6.344403084,0,0,1
6.344403892,0,0,0
6.344416422,1,0,0
6.344416460,1,1,0
6.344416572,1,1,1
6.444400464,1,0,1
6.444400970,0,0,1
6.444401820,0,0,0
6.444414796,1,0,0
6.444414830,1,1,0
6.444414898,1,1,1
6.544399012,1,0,1
6.544399082,0,0,1
6.544399778,0,0,0
6.544413126,1,0,0
6.544413174,1,1,0
6.544413284,1,1,1
6.644397714,1,0,1
6.644398190,0,0,1
6.644398796,0,0,0
6.644411486,1,0,0
6.644411572,1,1,0
6.644411620,1,1,1
6.744396152,1,0,1
6.744396924,1,0,0
6.744397418,0,0,0
6.744409848,1,0,0
6.744409924,1,1,0
6.744409972,1,1,1
6.844394528,1,0,1
6.844394578,0,0,1
6.844395278,0,0,0
6.844408186,1,0,0
6.844408258,1,1,0
6.844408350,1,1,1
6.944392646,1,0,1
6.944392884,0,0,1
6.944393646,0,0,0
6.944406580,1,0,0
6.944406634,1,1,0
6.944406680,1,1,1
7.044391484,0,1,1
7.044391498,0,1,0
7.044391712,0,0,0
7.044404930,1,0,0
7.044404990,1,1,0
7.044405066,1,1,1
7.144389586,1,0,1
7.144389924,0,0,1
7.144390440,0,0,0
7.144403270,1,0,0
7.144403360,1,1,0
7.144403428,1,1,1
7.244388854,1,1,0
7.244388940,1,0,0
7.244392452,0,0,0
7.244401642,1,0,0
7.244401698,1,1,0
7.244401760,1,1,1
7.344386720,1,0,1
7.344387060,1,0,0
7.344387160,0,0,0
7.344399974,1,0,0
7.344400046,1,1,0
7.344400140,1,1,1
7.444384694,1,0,1
7.444384944,0,0,1
7.444385404,0,0,0
7.444398346,1,0,0
7.444398418,1,1,0
7.444398482,1,1,1
7.544382610,1,0,1
7.544382868,1,0,0
7.544382974,0,0,0
7.544396696,1,0,0
7.544396788,1,1,0
7.544396830,1,1,1
7.644381308,1,0,1
7.644381676,0,0,1
7.644381916,0,0,0
7.644395032,1,0,0
7.644395166,1,1,0
7.644395192,1,1,1
