Time [s],SheepS0,Sheep1,Sheep2
0.000000000,1,1,1
0.019106330,1,1,0
0.019107092,1,0,0
0.019107622,0,0,0
0.019120164,0,1,0
0.019120302,0,1,1
0.019120416,1,1,1
0.119104868,1,0,1
0.119105310,0,0,1
0.119105780,0,0,0
0.119118552,0,1,0
0.119118640,0,1,1
0.119118776,1,1,1
0.219102968,1,0,1
0.219103350,0,0,1
0.219103390,0,0,0
0.219116910,0,1,0
0.219116992,0,1,1
0.219117116,1,1,1
0.319101432,1,0,1
0.319101948,0,0,1
0.319102582,0,0,0
0.319115254,0,1,0
0.319115306,0,1,1
0.319115454,1,1,1
0.419099708,1,0,1
0.419100242,0,0,1
0.419101286,0,0,0
0.419113650,0,1,0
0.419113654,0,1,1
0.419113800,1,1,1
0.519098560,1,0,1
0.519098868,0,0,1
0.519098998,0,0,0
0.519111970,0,0,1
0.519112008,0,1,1
0.519112152,1,1,1
0.619096716,1,0,1
0.619097674,0,0,1
0.619098660,0,0,0
0.619110346,0,1,1
0.619110498,1,1,1
0.719095426,1,0,1
0.719095480,1,0,0
0.719095652,0,0,0
0.719108682,0,1,1
0.719108832,1,1,1
0.819093262,1,0,1
0.819093462,0,0,1
0.819094020,0,0,0
0.819107014,0,0,1
0.819107036,0,1,1
0.819107178,1,1,1
0.919091606,1,0,1
0.919092000,0,0,1
0.919092176,0,0,0
0.919105344,0,0,1
0.919105380,0,1,1
0.919105510,1,1,1
1.019089988,1,1,0
1.019090508,1,0,0
1.019091400,0,0,0
1.019103726,0,0,1
1.019103772,0,1,1
1.019103886,1,1,1
1.119088484,1,0,1
1.119089250,1,0,0
1.119089424,0,0,0
1.119102068,0,0,1
1.119102088,0,1,1
1.119102224,1,1,1
1.219086746,1,0,1
1.219086890,0,0,1
1.219087460,0,0,0
1.219100396,0,0,1
1.219100472,0,1,1
1.219100570,1,1,1
1.319085090,1,0,1
1.319085166,0,0,1
1.319085916,0,0,0
1.319098734,0,0,1
1.319098814,0,1,1
1.319098890,1,1,1
1.419083626,0,1,1
1.419084560,0,0,1
1.419084690,0,0,0
1.419097060,0,0,1
1.419097148,0,1,1
1.419097266,1,1,1
1.519082144,1,0,1
1.519082290,0,0,1
1.519082772,0,0,0
1.519095416,0,0,1
1.519095514,0,1,1
1.519095578,1,1,1
1.619080342,0,1,1
1.619080510,0,0,1
1.619081262,0,0,0
1.619093756,0,0,1
1.619093868,0,1,1
1.619093938,1,1,1
1.719078312,1,0,1
1.719078776,0,0,1
1.719078802,0,0,0
1.719092106,0,0,1
1.719092212,0,1,1
1.719092284,1,1,1
1.819076760,1,0,1
1.819076860,0,0,1
1.819077424,0,0,0
1.819090460,0,0,1
1.819090534,0,1,1
1.819090624,1,1,1
