Time [s],SheepS0,Sheep1,Sheep2
0.000000000,1,1,1
0.030641876,1,0,1
0.030642928,0,0,1
0.030642986,0,0,0
0.030655638,0,1,0
0.030655650,0,1,1
0.030655720,1,1,1
0.130640662,1,0,1
0.130640696,0,0,1
0.130641338,0,0,0
0.130654028,0,1,0
0.130654052,0,1,1
0.130654120,1,1,1
0.230638652,1,0,1
0.230638984,0,0,1
0.230639474,0,0,0
0.230652430,0,1,0
0.230652446,0,1,1
0.230652494,1,1,1
0.330637330,0,1,1
0.330637848,0,1,0
0.330638026,0,0,0
0.330650834,0,0,1
0.330650838,0,1,1
0.330650928,1,1,1
0.430635820,0,1,1
0.430636706,0,0,1
0.430636810,0,0,0
0.430649218,0,0,1
0.430649238,0,1,1
0.430649316,1,1,1
0.530633930,1,0,1
0.530634182,0,0,1
0.530635020,0,0,0
0.530647612,0,1,0
0.530647620,0,1,1
0.530647692,1,1,1
0.630632036,1,0,1
0.630632570,0,0,1
0.630632886,0,0,0
0.630646006,0,0,1
0.630646018,0,1,1
0.630646078,1,1,1
0.730630404,1,0,1
0.730630956,0,0,1
0.730631344,0,0,0
0.730644398,0,0,1
0.730644428,0,1,1
0.730644510,1,1,1
0.830629060,1,0,1
0.830629284,0,0,1
0.830629720,0,0,0
0.830642828,0,1,0
0.830642842,0,1,1
0.830642882,1,1,1
0.930627344,1,0,1
0.930627542,0,0,1
0.930627732,0,0,0
0.930641200,0,0,1
0.930641202,0,1,1
0.930641262,1,1,1
1.030625640,1,0,1
1.030626436,1,0,0
1.030626678,0,0,0
1.030639614,0,0,1
1.030639622,0,1,1
1.030639684,1,1,1
1.130624592,0,1,1
1.130624766,0,1,0
1.130625218,0,0,0
1.130638004,0,0,1
1.130638010,0,1,1
1.130638060,1,1,1
1.230622486,1,0,1
1.230622736,0,0,1
1.230623490,0,0,0
1.230636394,0,0,1
1.230636426,0,1,1
1.230636458,1,1,1
1.330621236,0,1,1
1.330621394,0,0,1
1.330621732,0,0,0
1.330634798,0,0,1
1.330634816,0,1,1
1.330634874,1,1,1
1.430619756,1,0,1
1.430619902,0,0,1
1.430620982,0,0,0
1.430633172,0,0,1
1.430633184,0,1,1
1.430633262,1,1,1
1.530617976,1,0,1
1.530618170,0,0,1
1.530618898,0,0,0
1.530631596,0,0,1
1.530631620,0,1,1
1.530631680,1,1,1
1.630615990,1,0,1
1.630616554,0,0,1
1.630616864,0,0,0
1.630629986,0,0,1
1.630630020,0,1,1
1.630630066,1,1,1
1.730614310,0,1,1
1.730614636,0,1,0
1.730615114,0,0,0
1.730628368,0,0,1
1.730628372,0,1,1
1.730628472,1,1,1
1.830613036,1,1,0
1.830613266,0,1,0
1.830613532,0,0,0
1.830626782,0,0,1
1.830626790,0,1,1
1.830626858,1,1,1
1.930611438,1,0,1
1.930611510,1,0,0
1.930611616,0,0,0
1.930625166,0,1,0
1.930625188,0,1,1
1.930625258,1,1,1
2.030609846,1,0,1
2.030610164,1,0,0
2.030610694,0,0,0
2.030623572,0,1,0
2.030623576,0,1,1
2.030623646,1,1,1
2.130607906,1,0,1
2.130607934,0,0,1
2.130608918,0,0,0
2.130621986,0,1,0
2.130621988,0,1,1
2.130622052,1,1,1
2.230606590,1,1,0
2.230606618,1,0,0
2.230606882,0,0,0
2.230620340,0,0,1
2.230620388,0,1,1
2.230620430,1,1,1
2.330605080,0,1,1
2.330605310,0,0,1
2.330605354,0,0,0
2.330618770,0,0,1
2.330618782,0,1,1
2.330618798,1,1,1
2.430602842,1,0,1
2.430603950,0,0,1
2.430604388,0,0,0
2.430617178,0,0,1
2.430617198,0,1,1
2.430617214,1,1,1
2.530601904,1,0,1
2.530602078,0,0,1
2.530603450,0,0,0
2.530615540,0,1,0
2.530615546,0,1,1
2.530615590,1,1,1
2.630600192,1,0,1
2.630600450,0,0,1
2.630600504,0,0,0
2.630613964,0,0,1
2.630613966,0,1,1
2.630614004,1,1,1
2.730598928,0,1,1
2.730599090,0,0,1
2.730599176,0,0,0
2.730612350,0,1,0
2.730612370,0,1,1
2.730612394,1,1,1
2.830597102,0,1,1
2.830597108,0,0,1
2.830597700,0,0,0
2.830610752,0,1,0
2.830610764,0,1,1
2.830610820,1,1,1
2.930594746,1,0,1
2.930595512,1,0,0
2.930595576,0,0,0
2.930609124,0,1,0
2.930609136,0,1,1
2.930609216,1,1,1
3.030593746,1,0,1
3.030594102,1,0,0
3.030594676,0,0,0
3.030607524,0,0,1
3.030607554,0,1,1
3.030607606,1,1,1
3.130592438,0,1,1
