Time [s],SheepS0,Sheep1,Sheep2
0.000000000,1,1,1
0.039327484,1,0,1
0.039328294,0,0,1
0.039328300,0,0,0
0.039341850,0,0,1
0.039341884,0,1,1
0.039341894,1,1,1
0.139326832,1,1,0
0.139326972,1,0,0
0.139327028,0,0,0
0.139340240,1,0,0
0.139340246,1,0,1
0.139340292,1,1,1
0.239324972,1,0,1
0.239325332,1,0,0
0.239325424,0,0,0
0.239338638,0,0,1
0.239338666,1,0,1
0.239338684,1,1,1
0.339323460,1,0,1
0.339323486,0,0,1
0.339324248,0,0,0
0.339337016,0,0,1
0.339337042,1,0,1
0.339337056,1,1,1
0.439321418,1,0,1
0.439321560,0,0,1
0.439322512,0,0,0
0.439335422,1,0,0
0.439335432,1,0,1
0.439335436,1,1,1
0.539320008,1,0,1
0.539320324,0,0,1
0.539320900,0,0,0
0.539333814,0,0,1
0.539333838,1,0,1
0.539333866,1,1,1
0.639318678,1,0,1
0.639319034,0,0,1
0.639319520,0,0,0
0.639332190,1,0,0
0.639332208,1,0,1
0.639332222,1,1,1
0.739316478,0,1,1
0.739316812,0,0,1
0.739317616,0,0,0
0.739330598,1,0,0
0.739330608,1,0,1
0.739330620,1,1,1
0.839315156,1,0,1
0.839315720,0,0,1
0.839315952,0,0,0
0.839328944,0,0,1
0.839328970,1,0,1
0.839329018,1,1,1
0.939313544,1,0,1
0.939313748,0,0,1
0.939314360,0,0,0
0.939327350,0,0,1
0.939327390,1,0,1
0.939327404,1,1,1
1.039311772,1,0,1
1.039312204,0,0,1
1.039312558,0,0,0
1.039325756,0,1,0
1.039325760,1,1,0
1.039325772,1,1,1
1.139310346,1,0,1
1.139310598,0,0,1
1.139310836,0,0,0
1.139324132,0,0,1
1.139324152,1,0,1
1.139324162,1,1,1
1.239308746,0,1,1
1.239308748,0,0,1
1.239310074,0,0,0
1.239322526,0,0,1
1.239322544,1,0,1
1.239322564,1,1,1
1.339307086,1,0,1
1.339307318,0,0,1
1.339307934,0,0,0
1.339320916,1,0,0
1.339320920,1,0,1
1.339320948,1,1,1
1.439305424,1,0,1
1.439306084,0,0,1
1.439306198,0,0,0
1.439319320,0,0,1
1.439319324,0,1,1
1.439319326,1,1,1
1.539303690,1,0,1
1.539304278,0,0,1
1.539304758,0,0,0
1.539317706,1,0,0
1.539317708,1,0,1
1.539317714,1,1,1
1.639302670,1,1,0
1.639302830,1,0,0
1.639302864,0,0,0
1.639316066,1,0,0
1.639316070,1,0,1
1.639316132,1,1,1
1.739300614,0,1,1
1.739301006,0,0,1
1.739301578,0,0,0
1.739314454,0,0,1
1.739314474,1,0,1
1.739314500,1,1,1
1.839299206,1,0,1
1.839299592,0,0,1
1.839299920,0,0,0
1.839312872,1,0,0
1.839312882,1,0,1
1.839312890,1,1,1
1.939297420,1,0,1
1.939297524,0,0,1
1.939298330,0,0,0
1.939311246,0,0,1
1.939311250,1,0,1
1.939311286,1,1,1
2.039295768,1,0,1
2.039296056,0,0,1
2.039296078,0,0,0
2.039309630,0,0,1
2.039309652,1,0,1
2.039309666,1,1,1
2.139294252,1,0,1
2.139294444,0,0,1
2.139294448,0,0,0
2.139307996,0,0,1
2.139308030,0,1,1
2.139308042,1,1,1
2.239292674,0,1,1
2.239292680,0,0,1
2.239294124,0,0,0
