Time [s],Server,Client1,Client2
0.000000000,1,1,1
0.004371614,1,0,1
0.004373266,0,0,1
0.004373594,0,0,0
0.004381246,1,0,0
0.004381322,1,0,1
0.004381460,1,1,1
0.104360686,0,1,1
0.104364650,0,1,0
0.104365634,0,0,0
0.104374446,1,0,0
0.104374476,1,0,1
0.104374610,1,1,1
0.204354100,1,0,1
0.204357380,1,0,0
0.204359230,0,0,0
0.204367608,1,0,0
0.204367666,1,0,1
0.204367822,1,1,1
0.304352292,1,0,1
0.304352322,0,0,1
0.304352950,0,0,0
0.304360792,1,0,0
0.304360808,1,0,1
0.304360930,1,1,1
0.404341268,1,0,1
0.404344922,0,0,1
0.404346064,0,0,0
0.404353948,1,0,0
0.404354002,1,0,1
0.404354128,1,1,1
0.504338516,1,0,1
0.504338830,0,0,1
0.504339106,0,0,0
0.504347120,1,0,0
0.504347126,1,0,1
0.504347288,1,1,1
0.604327422,1,1,0
0.604327980,1,0,0
0.604334610,0,0,0
0.604340296,1,0,0
0.604340326,1,0,1
0.604340428,1,1,1
0.704319678,1,0,1
0.704325040,1,0,0
0.704325194,0,0,0
0.704333458,1,0,0
0.704333494,1,0,1
0.704333622,1,1,1
0.804314596,1,0,1
0.804318156,0,0,1
0.804319138,0,0,0
0.804326626,1,0,0
0.804326644,1,0,1
0.804326760,1,1,1
0.904307100,0,1,1
0.904307658,0,0,1
0.904311850,0,0,0
0.904319804,1,0,0
0.904319846,1,0,1
0.904319938,1,1,1
1.004303074,1,0,1
1.004305012,1,0,0
1.004305026,0,0,0
1.004312986,1,0,0
1.004312990,1,0,1
1.004313246,1,1,1
1.104292860,0,1,1
1.104294608,0,0,1
1.104296700,0,0,0
1.104306144,1,0,0
1.104306166,1,0,1
1.104306300,1,1,1
1.204285568,1,0,1
1.204289034,1,0,0
1.204290942,0,0,0
1.204299320,0,0,1
1.204299356,1,0,1
1.204299460,1,1,1
1.304283810,1,0,1
1.304284052,0,0,1
1.304284660,0,0,0
1.304292518,0,0,1
1.304292522,1,0,1
1.304292638,1,1,1
1.404273712,1,0,1
1.404276766,0,0,1
1.404277702,0,0,0
1.404285670,1,0,0
1.404285688,1,0,1
1.404285776,1,1,1
1.504266756,1,0,1
1.504269390,1,0,0
1.504270336,0,0,0
1.504278812,0,0,1
1.504278846,1,0,1
1.504278960,1,1,1
1.604258354,1,0,1
1.604259226,1,0,0
1.604266828,0,0,0
1.604271986,1,0,0
1.604271994,1,0,1
1.604272132,1,1,1
1.704255618,1,0,1
1.704255746,0,0,1
1.704257312,0,0,0
1.704265168,1,0,1
1.704265298,1,1,1
1.804245968,1,0,1
1.804249882,0,0,1
1.804250418,0,0,0
1.804258318,0,0,1
1.804258350,1,0,1
1.804258436,1,1,1
1.904238202,0,1,1
1.904240098,0,0,1
1.904243424,0,0,0
1.904251514,1,0,0
1.904251528,1,0,1
1.904251600,1,1,1
2.004234798,1,0,1
2.004236434,0,0,1
2.004236794,0,0,0
2.004244648,0,0,1
2.004244684,1,0,1
2.004244790,1,1,1
2.104228134,1,1,0
2.104229460,1,0,0
2.104229464,0,0,0
2.104237836,0,0,1
2.104237842,1,0,1
2.104237966,1,1,1
2.204217256,1,0,1
2.204220238,1,0,0
2.204222562,0,0,0
2.204231010,0,0,1
2.204231026,1,0,1
2.204231132,1,1,1
2.304211758,1,0,1
2.304215688,0,0,1
2.304216198,0,0,0
2.304224184,0,0,1
2.304224196,1,0,1
2.304224278,1,1,1
2.404203834,1,0,1
2.404208322,0,0,1
2.404209540,0,0,0
2.404217308,0,0,1
2.404217392,1,0,1
2.404217434,1,1,1
2.504202124,0,1,1
2.504202200,0,0,1
2.504202442,0,0,0
2.504210502,0,0,1
2.504210544,1,0,1
2.504210576,1,1,1
2.604189862,1,1,0
2.604190626,1,0,0
2.604198438,0,0,0
2.604203640,0,0,1
2.604203722,1,1,1
2.704188186,1,0,1
2.704188654,0,0,1
2.704188898,0,0,0
2.704196834,0,0,1
2.704196870,0,1,1
2.704196872,1,1,1
2.804177576,1,0,1
2.804181534,0,0,1
2.804182036,0,0,0
2.804190020,0,0,1
2.804190040,0,1,1
2.804190046,1,1,1
2.904169238,1,0,1
2.904171420,0,0,1
2.904175092,0,0,0
2.904183172,0,0,1
2.904183196,0,1,1
2.904183236,1,1,1
3.004163896,1,0,1
3.004167756,0,0,1
3.004168436,0,0,0
3.004176332,0,0,1
3.004176354,0,1,1
3.004176398,1,1,1
3.104157318,1,0,1
3.104159190,1,0,0
3.104161166,0,0,0
3.104169466,0,0,1
3.104169512,0,1,1
3.104169546,1,1,1
3.204148856,1,0,1
3.204152340,1,0,0
3.204154224,0,0,0
3.204162660,0,0,1
3.204162680,0,1,1
3.204162730,1,1,1
3.304143764,1,0,1
3.304147408,0,0,1
3.304147864,0,0,0
3.304155840,0,1,0
3.304155850,0,1,1
3.304155916,1,1,1
3.404136378,1,0,1
3.404140060,0,0,1
3.404141080,0,0,0
3.404148978,0,0,1
3.404149016,0,1,1
3.404149090,1,1,1
3.504130008,1,0,1
3.504133752,0,0,1
3.504134224,0,0,0
3.504142170,0,1,1
3.504142258,1,1,1
3.604122046,1,0,1
3.604122342,1,0,0
3.604129622,0,0,0
3.604135332,0,0,1
3.604135342,0,1,1
3.604135398,1,1,1
3.704119734,1,0,1
3.704120448,0,0,1
3.704120676,0,0,0
3.704128502,0,1,0
3.704128530,0,1,1
3.704128604,1,1,1
3.804109262,1,0,1
3.804109586,0,0,1
3.804113808,0,0,0
3.804121666,0,0,1
3.804121686,0,1,1
3.804121774,1,1,1
3.904101166,1,0,1
3.904106038,0,0,1
3.904106708,0,0,0
3.904114814,0,1,0
3.904114838,0,1,1
3.904114912,1,1,1
4.004097960,1,0,1
4.004099842,0,0,1
4.004099992,0,0,0
4.004107990,0,1,0
4.004108016,0,1,1
4.004108092,1,1,1
4.104091312,1,1,0
4.104092534,1,0,0
4.104092958,0,0,0
4.104101146,0,0,1
4.104101176,0,1,1
4.104101248,1,1,1
4.204080486,1,0,1
4.204083480,1,0,0
4.204086008,0,0,0
4.204094318,0,0,1
4.204094342,0,1,1
4.204094430,1,1,1
4.304075712,1,0,1
4.304079102,0,0,1
4.304079586,0,0,0
4.304087500,0,1,0
4.304087528,0,1,1
4.304087572,1,1,1
4.404069598,1,0,1
4.404071828,0,0,1
4.404072756,0,0,0
4.404080670,0,1,0
4.404080700,0,1,1
4.404080772,1,1,1
4.504062394,1,0,1
4.504065452,0,0,1
4.504065924,0,0,0
4.504073826,0,1,0
4.504073870,0,1,1
4.504073950,1,1,1
4.604053788,1,0,1
4.604053966,1,0,0
4.604061870,0,0,0
4.604066976,0,1,0
4.604067008,0,1,1
4.604067116,1,1,1
4.704046216,1,0,1
4.704052086,0,0,1
4.704052412,0,0,0
4.704060174,0,1,1
4.704060284,1,1,1
4.804041076,1,0,1
4.804045460,1,0,0
4.804045538,0,0,0
4.804053308,0,1,0
4.804053358,0,1,1
4.804053442,1,1,1
4.904034100,1,0,1
4.904036214,0,0,1
4.904036596,0,0,0
4.904046464,0,1,0
4.904046550,0,1,1
4.904046610,1,1,1
5.004026386,1,0,1
5.004030700,0,0,1
5.004031752,0,0,0
5.004039644,0,1,0
5.004039694,0,1,1
5.004039750,1,1,1
5.104022970,1,1,0
5.104024104,1,0,0
5.104024520,0,0,0
5.104032816,0,1,0
5.104032890,0,1,1
5.104032944,1,1,1
5.204012126,1,0,1
5.204015360,1,0,0
5.204017804,0,0,0
5.204025994,0,1,0
5.204026042,0,1,1
5.204026094,1,1,1
5.304008110,1,0,1
5.304010786,0,0,1
5.304011400,0,0,0
5.304019108,0,1,0
5.304019216,0,1,1
5.304019250,1,1,1
5.404002978,1,0,1
5.404003396,0,0,1
5.404004424,0,0,0
5.404012298,0,1,0
5.404012366,0,1,1
5.404012388,1,1,1
5.503993972,1,0,1
5.503997182,0,0,1
5.503997644,0,0,0
5.504005452,0,1,0
5.504005542,0,1,1
5.504005558,1,1,1
5.603985432,1,0,1
5.603985672,1,0,0
5.603993056,0,0,0
5.603998604,0,1,0
5.603998700,0,1,1
5.603998722,1,1,1
5.703979324,1,0,1
5.703983660,0,0,1
5.703983902,0,0,0
5.703991786,0,1,0
5.703991848,0,1,1
5.703991876,1,1,1
5.803972436,1,0,1
5.803976532,0,0,1
5.803977060,0,0,0
5.803984926,0,1,0
5.803985044,0,1,1
5.803985046,1,1,1
5.903969174,1,0,1
5.903969270,0,0,1
5.903970342,0,0,0
5.903978100,0,1,0
5.903978160,0,1,1
5.903978212,1,1,1
6.003958998,1,0,1
6.003962380,0,0,1
6.003963362,0,0,0
6.003971244,0,1,0
6.003971340,1,1,0
6.003971350,1,1,1
6.103951302,1,1,0
