Time [s],Server,Client1,Client2
0.000000000,1,1,1
0.095158358,1,0,1
0.095158456,0,0,1
0.095159880,0,0,0
0.095172058,0,0,1
0.095172074,1,0,1
0.095172180,1,1,1
0.195156464,1,0,1
0.195156726,0,0,1
0.195157612,0,0,0
0.195170312,0,0,1
0.195170340,1,0,1
0.195170494,1,1,1
0.295154724,1,0,1
0.295154842,0,0,1
0.295155616,0,0,0
0.295168606,0,0,1
0.295168630,1,0,1
0.295168798,1,1,1
0.395152854,0,1,1
0.395153796,0,0,1
0.395154048,0,0,0
0.395166908,1,0,0
0.395166928,1,0,1
0.395167040,1,1,1
0.495151642,1,0,1
0.495151824,0,0,1
0.495152236,0,0,0
0.495165184,1,0,0
0.495165186,1,0,1
0.495165372,1,1,1
0.595149266,1,0,1
0.595149702,0,0,1
0.595150496,0,0,0
0.595163452,1,0,0
0.595163492,1,0,1
0.595163638,1,1,1
0.695148102,1,0,1
0.695148122,1,0,0
0.695148150,0,0,0
0.695161728,1,0,0
0.695161764,1,0,1
0.695161916,1,1,1
0.795146376,1,0,1
0.795146596,0,0,1
0.795146960,0,0,0
0.795160042,0,0,1
0.795160044,1,0,1
0.795160230,1,1,1
0.895144882,0,1,1
0.895145098,0,1,0
0.895147348,0,0,0
0.895158324,1,0,0
0.895158346,1,0,1
0.895158532,1,1,1
0.995142946,0,1,1
0.995143216,0,0,1
0.995143768,0,0,0
0.995156570,1,0,0
0.995156638,1,0,1
0.995156770,1,1,1
1.095141252,0,1,1
1.095141276,0,0,1
1.095141994,0,0,0
1.095154868,1,0,0
1.095154906,1,0,1
1.095155098,1,1,1
1.195139346,1,0,1
1.195139550,0,0,1
1.195140762,0,0,0
1.195153124,1,0,0
1.195153204,1,0,1
1.195153376,1,1,1
1.295137610,1,0,1
1.295137652,0,0,1
1.295138486,0,0,0
1.295151440,1,0,0
1.295151476,1,0,1
1.295151644,1,1,1
1.395136184,0,1,1
1.395136738,0,0,1
1.395136828,0,0,0
1.395149714,1,0,0
1.395149774,1,0,1
1.395149956,1,1,1
1.495134438,1,0,1
1.495134594,0,0,1
1.495135268,0,0,0
1.495148000,1,0,0
1.495148088,1,0,1
1.495148210,1,1,1
1.595132118,1,0,1
1.595132676,0,0,1
1.595133308,0,0,0
1.595146246,1,0,0
1.595146348,1,0,1
1.595146542,1,1,1
1.695130396,0,1,1
1.695130988,0,0,1
1.695131558,0,0,0
1.695144524,1,0,0
1.695144642,1,0,1
1.695144800,1,1,1
1.795129232,1,0,1
1.795129370,0,0,1
1.795129888,0,0,0
1.795142818,1,0,0
1.795142928,1,0,1
1.795143098,1,1,1
1.895127188,0,1,1
1.895127694,0,1,0
1.895131290,0,0,0
1.895141106,1,0,0
1.895141228,1,0,1
1.895141376,1,1,1
1.995125206,0,1,1
1.995125956,0,0,1
1.995126484,0,0,0
1.995139386,1,0,0
1.995139516,1,0,1
1.995139676,1,1,1
2.095124124,0,1,1
2.095124286,0,0,1
2.095125962,0,0,0
2.095137658,1,0,0
2.095137806,1,0,1
2.095137920,1,1,1
2.195122302,0,1,1
2.195122928,0,0,1
2.195123384,0,0,0
2.195135922,1,0,0
2.195136060,1,0,1
2.195136216,1,1,1
2.295120464,1,0,1
2.295120636,0,0,1
2.295121344,0,0,0
2.295134212,1,0,0
2.295134378,1,0,1
2.295134488,1,1,1
2.395119098,0,1,1
2.395119516,0,0,1
2.395119772,0,0,0
2.395132504,1,0,0
2.395132658,1,0,1
2.395132768,1,1,1
2.495117280,0,1,1
2.495117326,0,0,1
2.495118564,0,0,0
2.495130758,1,0,0
2.495130948,1,0,1
2.495131014,1,1,1
2.595114950,1,0,1
2.595115252,0,0,1
2.595116176,0,0,0
2.595129040,1,0,0
2.595129210,1,0,1
2.595129286,1,1,1
2.695113524,0,1,1
2.695113778,0,0,1
2.695114390,0,0,0
2.695127314,1,0,0
2.695127526,1,0,1
2.695127550,1,1,1
2.795112008,1,0,1
2.795112074,0,0,1
2.795112740,0,0,0
2.795125606,1,0,0
2.795125776,1,0,1
2.795125868,1,1,1
2.895110436,0,1,1
2.895111822,0,1,0
2.895112656,0,0,0
2.895123866,1,0,0
2.895124082,1,0,1
2.895124094,1,1,1
2.995108392,0,1,1
2.995109298,0,1,0
2.995109444,0,0,0
2.995122184,1,0,0
2.995122370,1,1,0
2.995122374,1,1,1
3.095106640,0,1,1
3.095106778,0,0,1
3.095108010,0,0,0
3.095120428,1,0,0
3.095120634,1,0,1
3.095120670,1,1,1
3.195104578,0,1,1
3.195104968,0,0,1
3.195105808,0,0,0
3.195118716,1,0,0
3.195118902,1,0,1
3.195118926,1,1,1
3.295103596,0,1,1
3.295103808,0,0,1
3.295104150,0,0,0
3.295116996,1,0,0
3.295117184,1,0,1
3.295117214,1,1,1
3.395102044,0,1,1
3.395102222,0,0,1
3.395102606,0,0,0
3.395115276,1,0,0
3.395115472,1,1,0
3.395115484,1,1,1
3.495100058,1,0,1
3.495100202,0,0,1
3.495100740,0,0,0
3.495113580,1,0,0
3.495113750,1,1,0
3.495113776,1,1,1
3.595097674,1,0,1
3.595098274,0,0,1
3.595098810,0,0,0
3.595111850,1,0,0
3.595112054,1,1,0
3.595112066,1,1,1
3.695096310,0,1,1
