Time [s],Server,Client1,Client2
0.000000000,1,1,1
0.030649216,0,1,1
0.030649896,0,0,1
0.030649954,0,0,0
0.030662748,1,0,0
0.030662818,1,0,1
0.030662864,1,1,1
0.130647496,0,1,1
0.130647864,0,1,0
0.130647900,0,0,0
0.130661030,1,0,0
0.130661106,1,0,1
0.130661136,1,1,1
0.230645686,0,1,1
0.230645724,0,0,1
0.230646348,0,0,0
0.230659302,1,0,0
0.230659340,1,0,1
0.230659420,1,1,1
0.330643930,0,1,1
0.330644044,0,0,1
0.330644924,0,0,0
0.330657544,1,0,0
0.330657632,1,0,1
0.330657688,1,1,1
0.430642000,0,1,1
0.430642448,0,0,1
0.430643152,0,0,0
0.430655834,1,0,0
0.430655864,1,0,1
0.430655916,1,1,1
0.530640312,1,0,1
0.530641020,0,0,1
0.530641310,0,0,0
0.530654104,1,0,0
0.530654142,1,0,1
0.530654212,1,1,1
0.630638648,1,0,1
0.630638768,0,0,1
0.630639214,0,0,0
0.630652340,1,0,0
0.630652420,1,0,1
0.630652468,1,1,1
0.730637010,1,0,1
0.730637106,0,0,1
0.730637498,0,0,0
0.730650638,1,0,0
0.730650670,1,0,1
0.730650694,1,1,1
0.830635050,1,0,1
0.830635676,0,0,1
0.830635972,0,0,0
0.830648908,1,0,0
0.830648914,1,0,1
0.830648994,1,1,1
0.930633412,0,0,1
0.930634200,0,0,0
0.930647156,1,0,0
0.930647186,1,0,1
0.930647230,1,1,1
1.030631922,0,1,1
1.030632116,0,1,0
1.030632434,0,0,0
1.030645410,1,0,0
1.030645448,1,0,1
1.030645488,1,1,1
1.130630180,0,1,1
1.130630562,0,0,1
1.130630702,0,0,0
1.130643692,0,0,1
1.130643710,1,0,1
1.130643762,1,1,1
1.230627874,0,1,1
1.230628594,0,0,1
1.230628996,0,0,0
1.230641946,0,0,1
1.230641970,1,0,1
1.230642020,1,1,1
1.330626414,1,0,1
1.330626602,0,0,1
1.330628252,0,0,0
1.330640194,0,0,1
1.330640218,1,0,1
1.330640276,1,1,1
1.430624806,0,1,1
1.430624968,0,0,1
1.430625646,0,0,0
1.430638498,0,0,1
1.430638512,1,0,1
1.430638578,1,1,1
1.530622866,1,0,1
1.530623604,0,0,1
1.530623830,0,0,0
1.530636750,1,0,1
1.530636810,1,1,1
1.630621410,0,1,1
1.630623562,0,0,1
1.630625156,0,0,0
1.630635004,0,0,1
1.630635026,1,0,1
1.630635074,1,1,1
1.730619610,1,0,1
1.730619614,0,0,1
1.730620494,0,0,0
1.730633278,1,0,0
1.730633284,1,0,1
1.730633294,1,1,1
1.830617800,1,0,1
1.830618454,0,0,1
1.830618546,0,0,0
1.830631536,0,0,1
1.830631570,0,1,1
1.830631574,1,1,1
1.930615846,1,0,1
1.930616062,0,0,1
1.930616768,0,0,0
1.930629800,0,0,1
1.930629832,0,1,1
1.930629850,1,1,1
2.030614570,0,1,1
2.030615002,0,0,1
2.030615004,0,0,0
2.030628044,0,0,1
2.030628058,0,1,1
2.030628102,1,1,1
2.130612362,1,0,1
2.130612550,0,0,1
2.130613146,0,0,0
2.130626304,0,0,1
2.130626340,0,1,1
2.130626378,1,1,1
2.230611298,0,1,1
2.230611428,0,0,1
2.230611694,0,0,0
2.230624596,0,0,1
2.230624604,0,1,1
2.230624614,1,1,1
2.330608588,1,0,1
2.330609328,0,0,1
2.330609498,0,0,0
2.330622826,0,1,0
2.330622856,0,1,1
2.330622900,1,1,1
2.430607494,1,0,1
2.430607536,0,0,1
2.430608950,0,0,0
2.430621118,0,1,0
2.430621138,0,1,1
2.430621150,1,1,1
2.530606132,1,1,0
2.530606176,0,1,0
2.530607052,0,0,0
2.530619374,0,1,0
2.530619398,0,1,1
2.530619444,1,1,1
2.630604140,0,1,1
2.630604238,0,0,1
2.630604434,0,0,0
2.630617644,0,1,0
2.630617678,0,1,1
2.630617712,1,1,1
2.730601766,1,0,1
2.730602280,0,0,1
2.730602870,0,0,0
2.730615892,0,1,0
2.730615956,0,1,1
2.730615986,1,1,1
2.830600688,1,0,1
2.830601000,0,0,1
2.830601206,0,0,0
2.830614170,0,1,0
2.830614200,0,1,1
2.830614230,1,1,1
2.930598866,0,1,1
2.930598892,0,0,1
2.930599434,0,0,0
2.930612424,0,1,0
2.930612468,0,1,1
2.930612480,1,1,1
3.030597244,0,1,1
3.030597594,0,1,0
3.030597734,0,0,0
3.030610702,0,1,0
3.030610758,0,1,1
3.030610776,1,1,1
3.130595320,1,0,1
3.130595536,0,0,1
3.130596476,0,0,0
3.130608974,0,1,0
3.130608988,0,1,1
3.130609028,1,1,1
3.230593616,0,1,1
3.230594200,0,1,0
3.230594314,0,0,0
3.230607234,0,1,0
3.230607278,0,1,1
3.230607320,1,1,1
3.330591940,0,1,1
3.330592164,0,0,1
3.330592452,0,0,0
3.330605492,0,1,0
3.330605528,0,1,1
3.330605560,1,1,1
3.430590096,0,1,1
3.430590442,0,0,1
3.430591940,0,0,0
3.430603774,0,1,0
3.430603786,0,1,1
3.430603838,1,1,1
3.530587994,1,0,1
3.530588948,0,0,1
3.530589144,0,0,0
3.530602024,0,1,0
3.530602090,0,1,1
3.530602096,1,1,1
3.630586588,0,1,1
3.630590406,0,1,0
3.630592008,0,0,0
3.630600310,0,1,0
3.630600330,0,1,1
3.630600376,1,1,1
3.730585128,0,1,1
3.730585432,0,0,1
3.730585470,0,0,0
3.730598588,0,1,0
3.730598620,1,1,1
3.830582776,1,0,1
3.830583728,0,0,1
3.830583836,0,0,0
3.830596872,0,0,1
3.830596878,0,1,1
3.830596918,1,1,1
3.930581376,0,1,1
3.930581616,0,0,1
3.930582118,0,0,0
3.930595148,0,1,0
3.930595154,0,1,1
3.930595162,1,1,1
4.030579660,0,1,1
4.030580328,0,1,0
4.030580574,0,0,0
4.030593406,0,0,1
4.030593410,0,1,1
4.030593448,1,1,1
4.130577864,0,1,1
4.130578442,0,0,1
4.130578724,0,0,0
4.130591666,0,0,1
4.130591672,0,1,1
4.130591694,1,1,1
4.230576298,0,1,1
4.230576882,0,0,1
4.230576962,0,0,0
4.230589938,0,1,0
4.230589948,0,1,1
4.230589960,1,1,1
4.330574224,1,0,1
4.330574640,0,0,1
4.330574966,0,0,0
4.330588214,1,0,0
4.330588238,1,1,0
4.330588252,1,1,1
4.430572780,0,1,1
4.430573678,0,0,1
4.430574762,0,0,0
4.430586486,1,0,0
4.430586488,1,1,0
4.430586516,1,1,1
4.530571496,0,1,1
4.530571604,0,0,1
4.530571894,0,0,0
4.530584752,1,0,1
4.530584766,1,1,1
4.630569248,0,1,1
4.630569528,0,0,1
4.630570012,0,0,0
4.630583014,0,1,0
4.630583018,0,1,1
4.630583038,1,1,1
4.730567420,1,1,0
4.730567746,0,1,0
4.730568182,0,0,0
4.730581266,0,0,1
4.730581296,1,0,1
4.730581304,1,1,1
4.830565900,1,1,0
4.830565974,1,0,0
4.830566276,0,0,0
4.830579536,0,0,1
4.830579570,1,0,1
4.830579612,1,1,1
4.930564170,0,1,1
4.930564446,0,0,1
4.930564990,0,0,0
4.930577800,0,0,1
4.930577832,1,0,1
4.930577852,1,1,1
5.030562332,0,1,1
5.030562600,0,0,1
5.030562988,0,0,0
5.030576064,0,0,1
5.030576082,1,0,1
5.030576296,1,1,1
5.130560240,1,0,1
5.130560534,0,0,1
5.130561214,0,0,0
5.130574308,0,0,1
5.130574364,1,0,1
5.130574416,1,1,1
5.230559080,1,0,1
5.230559350,0,0,1
5.230560188,0,0,0
5.230572568,0,0,1
5.230572622,1,0,1
5.230572696,1,1,1
5.330556808,1,0,1
5.330557224,0,0,1
5.330557792,0,0,0
5.330570824,0,0,1
5.330570888,1,0,1
5.330570948,1,1,1
5.430555358,0,1,1
5.430555700,0,0,1
5.430556914,0,0,0
5.430569080,0,0,1
5.430569150,1,0,1
5.430569232,1,1,1
5.530553956,0,1,1
5.530554142,0,0,1
5.530554378,0,0,0
5.530567370,0,0,1
5.530567410,1,0,1
5.530567510,1,1,1
5.630551932,0,1,1
5.630554788,0,1,0
5.630557932,0,0,0
5.630565652,0,0,1
5.630565682,1,0,1
5.630565758,1,1,1
5.730550208,1,0,1
5.730550422,0,0,1
5.730551384,0,0,0
5.730563892,0,0,1
5.730563958,1,0,1
5.730564022,1,1,1
5.830549006,0,1,1
5.830549038,0,0,1
5.830549248,0,0,0
5.830562150,0,0,1
5.830562190,1,0,1
5.830562258,1,1,1
5.930546766,0,1,1
5.930547132,0,0,1
5.930547374,0,0,0
5.930560448,0,0,1
5.930560470,1,0,1
5.930560554,1,1,1
6.030544962,0,1,1
6.030545738,0,1,0
6.030546192,0,0,0
6.030558682,0,0,1
6.030558750,1,0,1
6.030558802,1,1,1
6.130543708,1,1,0
6.130543858,1,0,0
6.130543972,0,0,0
6.130556964,0,0,1
6.130556990,1,0,1
6.130557092,1,1,1
6.230541412,1,0,1
6.230541922,0,0,1
6.230542222,0,0,0
6.230555208,0,0,1
6.230555284,1,0,1
6.230555350,1,1,1
6.330539816,0,1,1
6.330540414,0,0,0
6.330553490,0,0,1
6.330553524,1,0,1
6.330553596,1,1,1
6.430538192,0,1,1
6.430538958,0,0,1
6.430539274,0,0,0
6.430551750,0,0,1
6.430551812,1,0,1
6.430551860,1,1,1
6.530536826,0,1,1
6.530536900,0,0,1
6.530537084,0,0,0
6.530550036,0,0,1
6.530550058,1,0,1
6.530550156,1,1,1
6.630534666,0,1,1
6.630534978,0,1,0
6.630535264,0,0,0
6.630548288,0,0,1
6.630548332,1,0,1
6.630548410,1,1,1
6.730532868,0,1,1
6.730533676,0,1,0
6.730534986,0,0,0
6.730546574,0,0,1
6.730546576,1,0,1
6.730546678,1,1,1
6.830531596,1,0,1
6.830531604,0,0,1
6.830531814,0,0,0
6.830544834,1,0,0
6.830544860,1,0,1
6.830544918,1,1,1
6.930529520,0,1,1
6.930530114,0,1,0
6.930530362,0,0,0
6.930543096,1,0,0
6.930543106,1,0,1
6.930543180,1,1,1
7.030527642,0,1,1
7.030527802,0,0,1
7.030528492,0,0,0
7.030541386,1,0,0
7.030541394,1,0,1
7.030541472,1,1,1
7.130525686,1,1,0
7.130526098,0,1,0
7.130526332,0,0,0
7.130539628,1,0,0
7.130539646,1,0,1
7.130539714,1,1,1
7.230524824,0,1,1
7.230524940,0,0,1
7.230525268,0,0,0
7.230537924,1,0,0
7.230537948,1,0,1
7.230537990,1,1,1
7.330522356,0,1,1
7.330523172,0,1,0
7.330523218,0,0,0
7.330536190,1,0,0
7.330536208,1,0,1
7.330536274,1,1,1
7.430520836,0,1,1
7.430521404,0,0,1
7.430522382,0,0,0
7.430534452,1,0,0
7.430534472,1,0,1
7.430534536,1,1,1
7.530519246,0,1,1
7.530519388,0,0,1
7.530519852,0,0,0
7.530532714,1,0,0
7.530532754,1,0,1
7.530532788,1,1,1
7.630517454,0,1,1
7.630520920,0,1,0
7.630522668,0,0,0
7.630530986,1,0,0
7.630531002,1,0,1
7.630531062,1,1,1
7.730515550,0,1,1
7.730516644,0,1,0
7.730517916,0,0,0
7.730529212,1,0,0
7.730529278,1,0,1
7.730529348,1,1,1
7.830514290,1,0,1
7.830514340,0,0,1
7.830514486,0,0,0
7.830527506,1,0,0
7.830527580,1,0,1
7.830527620,1,1,1
7.930512130,0,1,1
