Time [s],Server,Client1,Client2
0.000000000,1,1,1
0.027389506,0,1,1
0.027390100,0,0,1
0.027390104,0,0,0
0.027403630,1,0,0
0.027403704,1,0,1
0.027403754,1,1,1
0.127388030,1,0,1
0.127388300,0,0,1
0.127388328,0,0,0
0.127401918,1,0,0
0.127401982,1,0,1
0.127402016,1,1,1
0.227386578,0,1,1
0.227387180,0,0,1
0.227387320,0,0,0
0.227400200,1,0,0
0.227400288,1,0,1
0.227400332,1,1,1
0.327384828,1,0,1
0.327385302,0,0,1
0.327385376,0,0,0
0.327398448,1,0,0
0.327398532,1,0,1
0.327398560,1,1,1
0.427382890,1,0,1
0.427382952,0,0,1
0.427383568,0,0,0
0.427396738,1,0,0
0.427396812,1,0,1
0.427396876,1,1,1
0.527381430,0,1,1
0.527382076,0,0,1
0.527382142,0,0,0
0.527395002,1,0,0
0.527395088,1,0,1
0.527395138,1,1,1
0.627379456,0,1,1
0.627379524,0,0,1
0.627380370,0,0,0
0.627393286,1,0,0
0.627393362,1,0,1
0.627393378,1,1,1
0.727377984,0,1,1
0.727378096,0,0,1
0.727378582,0,0,0
0.727391560,1,0,0
0.727391624,1,0,1
0.727391690,1,1,1
0.827376136,1,0,1
0.827376530,0,0,1
0.827376912,0,0,0
0.827389846,1,0,0
0.827389940,1,0,1
0.827389956,1,1,1
0.927374252,1,0,1
0.927374344,0,0,1
0.927375192,0,0,0
0.927388088,1,0,0
0.927388178,1,0,1
0.927388238,1,1,1
1.027372584,0,1,1
1.027372748,0,0,1
1.027372836,0,0,0
1.027386370,1,0,0
1.027386468,1,0,1
1.027386522,1,1,1
1.127370752,1,0,1
1.127371030,1,0,0
1.127371052,0,0,0
1.127384668,1,0,0
1.127384736,1,0,1
1.127384782,1,1,1
1.227369236,0,1,1
1.227369522,0,0,1
1.227370328,0,0,0
1.227382900,1,0,0
1.227383016,1,0,1
1.227383038,1,1,1
1.327367084,1,0,1
1.327367916,0,0,1
1.327368070,0,0,0
1.327381200,1,0,0
1.327381270,1,0,1
1.327381348,1,1,1
1.427365304,1,0,1
1.427365782,0,0,1
1.427366530,0,0,0
1.427379446,1,0,0
1.427379568,1,0,1
1.427379616,1,1,1
1.527363878,1,0,1
1.527364178,0,0,1
1.527364804,0,0,0
1.527377752,1,0,0
1.527377834,1,0,1
1.527377908,1,1,1
1.627361914,1,0,1
1.627362228,0,0,1
1.627363190,0,0,0
1.627376016,1,0,0
1.627376096,1,0,1
1.627376138,1,1,1
1.727360116,1,0,1
1.727360766,0,0,1
1.727361422,0,0,0
1.727374298,1,0,0
1.727374366,1,0,1
1.727374422,1,1,1
1.827358510,1,0,1
1.827359272,1,0,0
1.827359480,0,0,0
1.827372568,1,0,0
1.827372626,1,0,1
1.827372690,1,1,1
1.927357076,0,1,1
1.927357180,0,0,1
1.927358036,0,0,0
1.927370822,1,0,0
1.927370936,1,0,1
1.927370988,1,1,1
2.027355454,0,1,1
2.027355570,0,1,0
2.027356860,0,0,0
2.027369110,1,0,0
2.027369212,1,0,1
2.027369256,1,1,1
2.127353438,1,0,1
2.127353748,1,0,0
2.127353818,0,0,0
2.127367392,1,0,0
2.127367444,1,0,1
2.127367550,1,1,1
2.227352160,0,1,1
2.227352620,0,0,1
2.227353200,0,0,0
2.227365652,1,0,0
2.227365714,1,0,1
2.227365828,1,1,1
2.327349928,1,0,1
2.327349992,0,0,1
2.327350898,0,0,0
2.327363930,1,0,0
2.327364016,1,0,1
2.327364088,1,1,1
2.427348064,1,0,1
2.427348698,0,0,1
2.427349064,0,0,0
2.427362186,1,0,0
2.427362266,1,0,1
2.427362370,1,1,1
2.527346872,0,1,1
2.527347106,0,0,1
2.527347478,0,0,0
2.527360448,1,0,0
2.527360550,1,0,1
2.527360648,1,1,1
2.627344716,1,0,1
2.627344938,0,0,1
2.627345642,0,0,0
2.627358726,1,0,0
2.627358810,1,0,1
2.627358902,1,1,1
2.727342988,1,0,1
2.727343420,0,0,1
2.727344232,0,0,0
2.727356992,1,0,0
2.727357084,1,0,1
2.727357196,1,1,1
2.827341260,1,0,1
2.827342006,0,0,1
2.827342468,0,0,0
2.827355282,1,0,0
2.827355334,1,0,1
2.827355448,1,1,1
2.927339428,1,0,1
2.927339978,0,0,1
2.927341618,0,0,0
2.927353550,1,0,0
2.927353622,1,0,1
2.927353722,1,1,1
3.027337874,1,0,1
3.027338042,0,0,1
3.027338320,0,0,0
3.027351830,1,0,0
3.027351882,1,0,1
3.027352038,1,1,1
3.127336078,1,0,1
3.127336480,1,0,0
3.127336510,0,0,0
3.127350082,1,0,0
3.127350178,1,0,1
3.127350304,1,1,1
3.227334654,0,1,1
3.227335096,0,0,1
3.227335864,0,0,0
3.227348360,1,0,0
3.227348448,1,0,1
3.227348572,1,1,1
3.327332474,1,0,1
3.327333544,0,0,1
3.327333900,0,0,0
3.327346624,1,0,0
3.327346720,1,0,1
3.327346870,1,1,1
3.427330858,1,0,1
3.427331322,0,0,1
3.427331808,0,0,0
3.427344896,1,0,0
3.427344964,1,0,1
3.427345104,1,1,1
3.527329552,0,1,1
3.527329614,0,0,1
3.527330170,0,0,0
3.527343168,1,0,0
3.527343246,1,0,1
3.527343392,1,1,1
3.627327372,1,0,1
3.627327602,0,0,1
3.627328296,0,0,0
3.627341432,1,0,0
3.627341506,1,0,1
3.627341688,1,1,1
3.727325988,0,1,1
3.727326282,0,0,1
3.727326838,0,0,0
3.727339696,1,0,0
3.727339784,1,0,1
3.727339932,1,1,1
3.827323906,1,0,1
3.827324704,0,0,1
3.827325012,0,0,0
3.827337980,1,0,0
3.827338052,1,0,1
3.827338200,1,1,1
3.927322306,0,1,1
3.927322588,0,0,1
3.927322728,0,0,0
3.927336268,1,0,0
3.927336324,1,0,1
3.927336486,1,1,1
4.027320630,1,0,1
4.027320940,0,0,1
4.027321178,0,0,0
4.027334516,1,0,0
4.027334566,1,0,1
4.027334730,1,1,1
4.127318824,0,1,1
4.127319152,0,0,1
4.127320866,0,0,0
4.127332784,1,0,0
4.127332858,1,0,1
4.127333040,1,1,1
4.227317734,0,1,1
4.227318304,0,0,1
4.227318542,0,0,0
4.227331056,1,0,0
4.227331126,1,0,1
4.227331186,1,1,1
4.327315576,1,0,1
4.327316220,0,0,1
4.327316602,0,0,0
4.327329334,1,0,0
4.327329346,1,1,0
4.327329380,1,1,1
4.427313462,1,0,1
4.427314038,0,0,1
4.427314496,0,0,0
4.427327528,0,1,0
4.427327612,1,1,0
4.427327654,1,1,1
4.527311576,1,0,1
4.527312070,0,0,1
4.527313212,0,0,0
4.527325664,0,1,0
4.527325862,1,1,0
4.527325938,1,1,1
4.627310056,1,0,1
4.627310482,0,0,1
4.627311100,0,0,0
4.627323802,0,1,0
4.627324148,1,1,0
4.627324180,1,1,1
4.727307916,1,0,1
4.727308994,0,0,1
4.727309598,0,0,0
4.727321976,0,1,0
4.727322442,1,1,0
4.727322472,1,1,1
4.827305948,1,0,1
4.827307530,1,0,0
4.827307626,0,0,0
4.827320128,0,1,0
4.827320688,1,1,0
4.827320738,1,1,1
4.927304270,1,0,1
4.927305356,0,0,1
4.927306004,0,0,0
4.927318278,0,1,0
4.927318972,1,1,0
4.927318992,1,1,1
5.027302390,1,0,1
5.027303362,1,0,0
5.027303418,0,0,0
5.027316440,0,1,0
5.027317248,1,1,0
5.027317270,1,1,1
5.127300758,1,0,1
5.127301706,0,0,1
5.127302730,0,0,0
5.127314632,0,1,0
5.127315496,1,1,0
5.127315530,1,1,1
5.227299060,1,0,1
5.227300204,0,0,1
5.227300960,0,0,0
5.227312830,0,1,0
5.227313774,1,1,0
5.227313794,1,1,1
5.327297082,1,0,1
5.327298790,0,0,1
5.327298852,0,0,0
5.327311090,0,1,0
5.327312022,1,1,0
5.327312052,1,1,1
5.427295108,1,0,1
5.427296700,0,0,1
5.427297098,0,0,0
5.427309358,0,1,0
5.427310318,1,1,0
5.427310340,1,1,1
5.527293734,1,0,1
5.527294840,0,0,1
5.527295906,0,0,0
5.527307566,0,1,0
5.527308590,1,1,0
5.527308604,1,1,1
5.627291600,1,0,1
5.627293054,0,0,1
5.627293660,0,0,0
5.627305866,0,1,0
5.627306842,1,1,0
5.627306860,1,1,1
5.727289974,1,0,1
5.727291750,0,0,1
5.727292062,0,0,0
5.727304110,0,1,0
5.727305110,1,1,0
5.727305144,1,1,1
5.827288046,1,0,1
5.827289480,1,0,0
5.827290136,0,0,0
5.827302342,0,1,0
5.827303366,1,1,0
5.827303390,1,1,1
5.927286908,1,0,1
5.927287470,0,0,1
5.927288006,0,0,0
5.927300606,0,1,0
5.927301648,1,1,0
5.927301690,1,1,1
6.027285630,1,0,1
6.027286388,0,0,1
6.027286522,0,0,0
6.027298856,0,1,0
6.027299920,1,1,0
6.027299946,1,1,1
6.127282966,1,0,1
6.127284118,1,0,0
6.127284402,0,0,0
6.127297064,0,1,0
6.127298190,1,1,0
6.127298200,1,1,1
6.227282628,1,0,1
6.227283052,0,0,1
6.227283528,0,0,0
6.227295392,0,1,0
